date,receipt,change
2025-07-28,9804,
2025-07-29,9804,
2025-07-30,9804,0.0
2025-07-31,9804,0.0
2025-08-01,9759,-45.0
2025-08-04,9759,
2025-08-05,9749,-10.0
2025-08-06,9719,
2025-08-07,10199,480.0
2025-08-08,10179,-20.0
2025-08-11,10694,515.0
2025-08-12,12974,2280.0
2025-08-13,12953,-21.0
2025-08-14,12948,-5.0
2025-08-15,12888,-60.0
2025-08-18,12878,-10.0
2025-08-19,13318,440.0
2025-08-20,13298,-20.0
2025-08-21,13283,-15.0
2025-08-22,12887,-396.0
2025-08-25,13307,420.0
2025-08-26,13267,-40.0
2025-08-27,13242,-25.0
2025-08-28,13227,-15.0
2025-08-29,13207,-20.0
2025-09-01,13187,-20.0
2025-09-02,13128,-59.0
2025-09-03,13118,-10.0
2025-09-04,13088,-30.0
2025-09-05,13008,-80.0
2025-09-08,13008,0.0
2025-09-09,13008,0.0
2025-09-10,13003,-5.0
2025-09-11,13003,0.0
2025-09-12,13002,-1.0
2025-09-15,13002,0.0
2025-09-16,13002,0.0
2025-09-17,13002,0.0
2025-09-18,12974,-28.0
2025-09-19,12974,0.0
2025-09-22,12974,0.0
2025-09-23,12496,-478.0
2025-09-24,14527,2031.0
2025-09-25,14527,0.0
2025-09-26,14327,-200.0
2025-09-29,12916,-1411.0
2025-09-30,0,-12916.0
2025-10-17,2300,2300.0
2025-10-20,2300,0.0
2025-10-21,2300,0.0
2025-10-22,2300,0.0
2025-10-23,2416,116.0
2025-10-24,2416,0.0
2025-10-27,2416,0.0
2025-10-28,2416,0.0
2025-10-29,3096,680.0
2025-10-30,3811,715.0
2025-10-31,4194,383.0
2025-11-03,4194,0.0
2025-11-04,4194,0.0
2025-11-05,4194,0.0
2025-11-06,4194,0.0
2025-11-07,4444,250.0
2025-11-10,4444,0.0
2025-11-11,4444,0.0
2025-11-12,4615,171.0
2025-11-13,4615,0.0
2025-11-14,4615,0.0
