date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,PS,42666.67,PS2506,36875.0,PS2508,32845.0,2506.0,2508.0,-5791.669999999998,-9821.669999999998,-0.1357422550201362,-0.2301953726409864
2025-06-17,PS,42666.67,PS2507,34050.0,PS2508,32695.0,2507.0,2508.0,-8616.669999999998,-9971.669999999998,-0.2019531873474072,-0.2337109973663282
2025-06-18,PS,42666.67,PS2507,33575.0,PS2508,32575.0,2507.0,2508.0,-9091.669999999998,-10091.669999999998,-0.2130859989776563,-0.2365234971466017
2025-06-19,PS,42333.33,PS2507,32990.0,PS2508,32295.0,2507.0,2508.0,-9343.330000000002,-10038.330000000002,-0.2207086000557953,-0.2371259241831437
2025-06-20,PS,42333.33,PS2507,32140.0,PS2508,31660.0,2507.0,2508.0,-10193.330000000002,-10673.330000000002,-0.2407873417942789,-0.2521259253642461
2025-06-23,PS,42333.33,PS2507,31630.0,PS2508,30935.0,2507.0,2508.0,-10703.330000000002,-11398.330000000002,-0.252834586837369,-0.2692519109647174
2025-06-24,PS,42333.33,PS2507,31815.0,PS2508,31120.0,2507.0,2508.0,-10518.330000000002,-11213.330000000002,-0.2484645077531109,-0.2648818318804592
2025-06-25,PS,42333.33,PS2507,31560.0,PS2508,30655.0,2507.0,2508.0,-10773.330000000002,-11678.330000000002,-0.254488130274656,-0.275866084713865
2025-06-26,PS,42333.33,PS2507,32035.0,PS2508,31425.0,2507.0,2508.0,-10298.330000000002,-10908.330000000002,-0.2432676569502092,-0.2576771069037092
2025-06-27,PS,41333.33,PS2507,32500.0,PS2508,32075.0,2507.0,2508.0,-8833.330000000002,-9258.330000000002,-0.2137096140088399,-0.2239918729025704
2025-06-30,PS,41333.33,PS2507,33640.0,PS2508,33500.0,2507.0,2508.0,-7693.330000000002,-7833.330000000002,-0.1861289666233038,-0.1895160636706503
2025-07-01,PS,41333.33,PS2507,33355.0,PS2508,32760.0,2507.0,2508.0,-7978.330000000002,-8573.330000000002,-0.1930241284696878,-0.2074192909209106
