date,value,增减
2025-05-06,24922,0.0
2025-05-07,21541,-3381.0
2025-05-08,19540,-2001.0
2025-05-09,19165,-375.0
2025-05-12,20084,919.0
2025-05-13,29157,9073.0
2025-05-14,50069,20912.0
2025-05-15,60535,10466.0
2025-05-16,63247,2712.0
2025-05-19,61913,-1334.0
2025-05-20,45738,-16175.0
2025-05-21,41218,-4520.0
2025-05-22,31754,-9464.0
2025-05-23,33406,1652.0
2025-05-26,32833,-573.0
2025-05-27,34961,2128.0
2025-05-28,34861,-100.0
2025-05-29,32165,-2696.0
2025-05-30,34128,1963.0
2025-06-03,31404,-2724.0
2025-06-04,31933,529.0
2025-06-05,31687,-246.0
2025-06-06,32278,591.0
2025-06-09,34242,1964.0
2025-06-10,33746,-496.0
2025-06-11,33373,-373.0
2025-06-12,32785,-588.0
2025-06-13,36269,3484.0
2025-06-16,47051,10782.0
2025-06-17,54541,7490.0
2025-06-18,47014,-7527.0
2025-06-19,44816,-2198.0
2025-06-20,33882,-10934.0
2025-06-23,25528,-8354.0
2025-06-24,22425,-3103.0
2025-06-25,21470,-955.0
2025-06-26,23696,2226.0
2025-06-27,25346,1650.0
2025-06-30,25851,505.0
2025-07-01,24773,-1078.0
2025-07-02,25097,324.0
2025-07-03,24103,-994.0
2025-07-04,22307,-1796.0
2025-07-07,21682,-625.0
2025-07-08,19109,-2573.0
2025-07-09,21336,2227.0
2025-07-10,21729,393.0
2025-07-11,23307,1578.0
2025-07-14,34379,11072.0
2025-07-15,50133,15754.0
2025-07-16,50242,109.0
2025-07-17,42139,-8103.0
2025-07-18,38239,-3900.0
2025-07-21,28177,-10062.0
2025-07-22,25507,-2670.0
2025-07-23,15535,-9972.0
2025-07-24,16183,648.0
2025-07-25,16133,-50.0
2025-07-28,17832,1699.0
2025-07-29,18083,251.0
2025-07-30,19973,1890.0
2025-07-31,19622,-351.0
2025-08-01,20349,727.0
2025-08-04,20348,-1.0
2025-08-05,18767,-1581.0
2025-08-06,20346,1579.0
2025-08-07,20145,-201.0
2025-08-08,21272,1127.0
2025-08-11,23275,2003.0
2025-08-12,26296,3021.0
2025-08-13,22800,-3496.0
2025-08-14,24434,1634.0
2025-08-15,24560,126.0
2025-08-18,25498,938.0
2025-08-19,25498,0.0
2025-08-20,25223,-275.0
2025-08-21,25157,-66.0
2025-08-22,24148,-1009.0
2025-08-25,23747,-401.0
2025-08-26,22917,-830.0
2025-08-27,21287,-1630.0
2025-08-28,21232,-55.0
2025-08-29,21412,180.0
2025-09-01,20200,-1212.0
2025-09-02,19501,-699.0
2025-09-03,19471,-30.0
2025-09-04,19829,358.0
2025-09-05,18927,-902.0
2025-09-08,18926,-1.0
2025-09-09,19081,155.0
2025-09-10,19126,45.0
2025-09-11,20028,902.0
2025-09-12,25560,5532.0
2025-09-15,30643,5083.0
2025-09-16,33692,3049.0
2025-09-17,33291,-401.0
2025-09-18,32469,-822.0
2025-09-19,31838,-631.0
