date,value,增减
2025-05-06,2100,0.0
2025-05-07,3300,1200.0
2025-05-08,3700,400.0
2025-05-09,3700,0.0
2025-05-12,3900,200.0
2025-05-13,5100,1200.0
2025-05-14,3600,-1500.0
2025-05-15,3700,100.0
2025-05-16,3200,-500.0
2025-05-19,3900,700.0
2025-05-20,3800,-100.0
2025-05-21,3400,-400.0
2025-05-22,3400,0.0
2025-05-23,3100,-300.0
2025-05-26,2900,-200.0
2025-05-27,0,-2900.0
2025-06-04,200,200.0
2025-06-05,100,-100.0
2025-06-06,100,0.0
2025-06-09,100,0.0
2025-06-10,100,0.0
2025-06-11,100,0.0
2025-06-12,0,-100.0
2025-07-07,200,200.0
2025-07-08,200,0.0
2025-07-09,400,200.0
2025-07-10,200,-200.0
2025-07-11,200,0.0
2025-07-14,1400,1200.0
2025-07-15,1600,200.0
2025-07-16,1600,0.0
2025-07-17,1600,0.0
2025-07-18,500,-1100.0
2025-07-21,0,-500.0
2025-08-11,100,100.0
2025-08-12,800,700.0
2025-08-13,800,0.0
2025-08-14,800,0.0
2025-08-15,0,-800.0
2025-09-01,300,300.0
2025-09-02,900,600.0
2025-09-03,1700,800.0
2025-09-04,1900,200.0
2025-09-05,1500,-400.0
2025-09-08,2000,500.0
2025-09-09,1500,-500.0
2025-09-10,1300,-200.0
2025-09-11,500,-800.0
2025-09-12,500,0.0
2025-09-15,600,100.0
2025-09-16,600,0.0
2025-09-17,600,0.0
2025-09-18,200,-400.0
2025-09-19,100,-100.0
