date,receipt,change
2025-06-03,2903199,8933.0
2025-06-04,2942911,39712.0
2025-06-05,2992945,50034.0
2025-06-06,3023255,30310.0
2025-06-09,3131419,108164.0
2025-06-10,3221708,90289.0
2025-06-11,3322052,100344.0
2025-06-12,3298643,-23409.0
2025-06-13,3260833,-37810.0
2025-06-16,3218431,-42402.0
2025-06-17,3269326,50895.0
2025-06-18,3309906,40580.0
2025-06-19,3345943,36037.0
2025-06-20,3315631,-30312.0
2025-06-23,3361261,45630.0
2025-06-24,3384543,23282.0
2025-06-25,3436356,51813.0
2025-06-26,3421683,-14673.0
2025-06-27,3480354,58671.0
2025-06-30,3491000,10646.0
2025-07-01,3598816,107816.0
2025-07-02,3597187,-1629.0
2025-07-03,3609851,12664.0
2025-07-04,3604737,-5114.0
2025-07-07,3587242,-17495.0
2025-07-08,3591099,3857.0
2025-07-09,3549420,-41679.0
2025-07-10,3481479,-67941.0
2025-07-11,3501059,19580.0
2025-07-14,3311637,-189422.0
2025-07-15,3308745,-2892.0
2025-07-16,3279613,-29132.0
2025-07-17,3286725,7112.0
2025-07-18,3258601,-28124.0
2025-07-21,3239719,-18882.0
2025-07-22,3228748,-10971.0
2025-07-23,3203714,-25034.0
2025-07-24,3204788,1074.0
2025-07-25,3201297,-3491.0
2025-07-28,1208269,
2025-07-29,1204866,
2025-07-30,1208094,3228.0
2025-07-31,1208033,-61.0
2025-08-01,1183957,-24076.0
2025-08-04,1174273,
2025-08-05,1157291,-16982.0
2025-08-06,1161844,
2025-08-07,1150338,-11506.0
2025-08-08,1158387,8049.0
2025-08-11,1151962,-6425.0
2025-08-12,1151209,-753.0
2025-08-13,1135098,-16111.0
2025-08-14,1150782,15684.0
2025-08-15,1141555,-9227.0
2025-08-18,1138426,-3129.0
2025-08-19,1149446,11020.0
2025-08-20,1140199,-9247.0
2025-08-21,1115055,-25144.0
2025-08-22,1109123,-5932.0
2025-08-25,1113641,4518.0
2025-08-26,1127333,13692.0
2025-08-27,1165498,38165.0
2025-08-28,1178523,13025.0
2025-08-29,1195996,17473.0
2025-09-01,1207227,11231.0
2025-09-02,1215228,8001.0
2025-09-03,1227039,11811.0
2025-09-04,1259949,32910.0
2025-09-05,1265409,5460.0
2025-09-08,1261903,-3506.0
2025-09-09,1250339,-11564.0
2025-09-10,1252170,1831.0
2025-09-11,1240187,-11983.0
2025-09-12,1246569,6382.0
2025-09-15,1243481,-3088.0
2025-09-16,1231261,-12220.0
2025-09-17,1221428,-9833.0
2025-09-18,1203523,-17905.0
2025-09-19,1159443,-44080.0
2025-09-22,1148624,-10819.0
2025-09-23,1149043,419.0
2025-09-24,1161799,12756.0
2025-09-25,1156855,-4944.0
2025-09-26,1158266,1411.0
2025-09-29,1189648,31382.0
2025-09-30,1192282,2634.0
2025-10-09,1186846,-5436.0
2025-10-10,1169061,-17785.0
2025-10-13,1124456,-44605.0
2025-10-14,1063072,-61384.0
2025-10-15,1030429,-32643.0
2025-10-16,982255,-48174.0
2025-10-17,920103,-62152.0
2025-10-20,855850,-64253.0
2025-10-21,749362,-106488.0
2025-10-22,691688,-57674.0
2025-10-23,663366,-28322.0
2025-10-24,664971,1605.0
2025-10-27,647643,-17328.0
2025-10-28,657427,9784.0
2025-10-29,653828,-3599.0
2025-10-30,662835,9007.0
2025-10-31,665544,2709.0
2025-11-03,658851,-6693.0
2025-11-04,665610,6759.0
2025-11-05,656170,-9440.0
2025-11-06,639940,-16230.0
2025-11-07,623052,-16888.0
2025-11-10,609978,-13074.0
2025-11-11,591884,-18094.0
2025-11-12,583060,-8824.0
2025-11-13,584014,954.0
2025-11-14,576894,-7120.0
2026-03-18,346920,
2026-03-19,364865,17945.0
2026-03-20,362495,-2370.0
2026-03-23,364549,2054.0
2026-03-24,365923,1374.0
2026-03-25,376094,10171.0
2026-03-26,370299,-5795.0
2026-03-27,371799,1500.0
2026-03-30,374427,2628.0
2026-03-31,368667,-5760.0
2026-04-01,323319,-45348.0
2026-04-02,338180,14861.0
2026-04-03,338774,594.0
2026-04-07,352322,13548.0
2026-04-08,367180,14858.0
2026-04-09,393729,26549.0
2026-04-10,421461,27732.0
2026-04-13,457622,36161.0
2026-04-14,492071,34449.0
2026-04-15,500175,8104.0
2026-04-16,520800,20625.0
2026-04-17,564832,44032.0
2026-04-20,591523,26691.0
2026-04-21,614576,23053.0
2026-04-22,644273,29697.0
2026-04-23,648201,3928.0
2026-04-24,689522,41321.0
2026-04-27,718961,29439.0
2026-04-28,735174,16213.0
2026-04-29,738048,2874.0
2026-04-30,764753,26705.0
2026-05-06,767072,2319.0
2026-05-07,787902,20830.0
2026-05-08,812413,24511.0
2026-05-11,845431,33018.0
2026-05-12,832935,-12496.0
2026-05-13,868167,35232.0
2026-05-14,876996,8829.0
2026-05-15,898147,21151.0
2026-05-18,977133,78986.0
2026-05-19,975876,-1257.0
2026-05-20,994727,18851.0
2026-05-21,989688,-5039.0
2026-05-22,986791,-2897.0
2026-05-25,987851,1060.0
2026-05-26,989206,1355.0
2026-05-27,993726,4520.0
2026-05-28,987951,-5775.0
2026-05-29,976900,-11051.0
2026-06-01,956517,-20383.0
2026-06-02,958482,1965.0
2026-06-03,964427,5945.0
2026-06-04,972900,8473.0
2026-06-05,972611,-289.0
2026-06-08,958805,-13806.0
2026-06-09,929470,-29335.0
2026-06-10,916380,-13090.0
2026-06-11,895265,-21115.0
2026-06-12,886061,-9204.0
2026-06-15,871605,-14456.0
2026-06-16,868329,-3276.0
2026-06-17,851619,-16710.0
2026-06-18,868422,16803.0
2026-06-22,876367,7945.0
2026-06-23,853956,-22411.0
2026-06-24,852293,-1663.0
2026-06-25,848665,-3628.0
2026-06-26,842985,-5680.0
