date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,OI,9656.67,OI507,9531.0,OI509,9440.0,20507.0,20509.0,-125.67000000000009,-216.67000000000007,-0.0130138028947867,-0.0224373412366789
2025-06-17,OI,9735.0,OI507,9646.0,OI509,9561.0,20507.0,20509.0,-89.0,-174.0,-0.0091422701592193,-0.0178736517719568
2025-06-18,OI,9735.0,OI507,9775.0,OI509,9666.0,20507.0,20509.0,40.0,-69.0,0.0041088854648176,-0.0070878274268104
2025-06-19,OI,9833.33,OI507,9799.0,OI509,9697.0,20507.0,20509.0,-34.32999999999993,-136.32999999999993,-0.0034911876241313,-0.0138640724962957
2025-06-20,OI,9875.0,OI507,9807.0,OI509,9716.0,20507.0,20509.0,-68.0,-159.0,-0.006886075949367,-0.0161012658227848
2025-06-23,OI,9878.33,OI507,9778.0,OI509,9721.0,20507.0,20509.0,-100.32999999999991,-157.32999999999993,-0.0101565750486165,-0.0159267811462058
2025-06-24,OI,9731.67,OI507,9684.0,OI509,9607.0,20507.0,20509.0,-47.67000000000007,-124.67000000000009,-0.0048984398361227,-0.0128107508783179
2025-06-25,OI,9631.67,OI507,9624.0,OI509,9510.0,20507.0,20509.0,-7.670000000000073,-121.67000000000009,-0.0007963312696551,-0.0126322849516231
2025-06-26,OI,9631.67,OI507,9576.0,OI509,9458.0,20507.0,20509.0,-55.67000000000007,-173.67000000000007,-0.0057798907146943,-0.0180311410170821
2025-06-27,OI,9631.67,OI507,9584.0,OI509,9462.0,20507.0,20509.0,-47.67000000000007,-169.67000000000007,-0.0049492974738545,-0.0176158443966623
2025-06-30,OI,9581.67,OI507,9547.0,OI509,9427.0,20507.0,20509.0,-34.67000000000007,-154.67000000000007,-0.0036183671531163,-0.0161422799992068
2025-07-01,OI,9625.0,OI507,9586.0,OI509,9461.0,20507.0,20509.0,-39.0,-164.0,-0.004051948051948,-0.017038961038961
2025-07-02,OI,9763.33,OI507,9719.0,OI509,9543.0,20507.0,20509.0,-44.32999999999993,-220.33,-0.004540459044199,-0.0225670954479669
2025-07-03,OI,9775.0,OI507,9719.0,OI509,9641.0,20507.0,20509.0,-56.0,-134.0,-0.0057289002557544,-0.0137084398976982
2025-07-04,OI,9755.0,OI507,9913.0,OI509,9614.0,20507.0,20509.0,158.0,-141.0,0.016196822142491,-0.014454126089185
2025-07-07,OI,9703.33,OI507,9550.0,OI509,9558.0,20507.0,20509.0,-153.32999999999993,-145.32999999999993,-0.015801791756026,-0.0149773325239891
2025-07-08,OI,9745.0,OI507,9600.0,OI509,9535.0,20507.0,20509.0,-145.0,-210.0,-0.0148794253463314,-0.021549512570549
2025-07-09,OI,9675.0,OI507,9600.0,OI509,9546.0,20507.0,20509.0,-75.0,-129.0,-0.0077519379844961,-0.0133333333333333
2025-07-10,OI,9585.0,OI507,9600.0,OI509,9457.0,20507.0,20509.0,15.0,-128.0,0.001564945226917,-0.0133541992696922
2025-07-11,OI,9568.33,OI507,9600.0,OI509,9455.0,20507.0,20509.0,31.67000000000008,-113.32999999999991,0.0033098774812323,-0.011844282126557
2025-07-14,OI,9541.67,OI507,9557.0,OI509,9413.0,20507.0,20509.0,15.329999999999927,-128.67000000000007,0.0016066369933145,-0.0134850607912451
2025-07-15,OI,9533.33,OI509,9441.0,OI509,9441.0,20509.0,20509.0,-92.32999999999991,-92.32999999999991,-0.0096849684213176,-0.0096849684213176
2025-07-16,OI,9581.67,OI509,9453.0,OI509,9453.0,20509.0,20509.0,-128.67000000000007,-128.67000000000007,-0.0134287655492205,-0.0134287655492205
2025-07-17,OI,9561.67,OI509,9431.0,OI509,9431.0,20509.0,20509.0,-130.67000000000007,-130.67000000000007,-0.0136660227763559,-0.0136660227763559
2025-07-18,OI,9691.67,OI509,9529.0,OI509,9529.0,20509.0,20509.0,-162.67000000000007,-162.67000000000007,-0.0167845170130638,-0.0167845170130638
2025-07-21,OI,9681.67,OI509,9597.0,OI509,9597.0,20509.0,20509.0,-84.67000000000007,-84.67000000000007,-0.008745392065625,-0.008745392065625
2025-07-22,OI,9586.67,OI509,9517.0,OI509,9517.0,20509.0,20509.0,-69.67000000000007,-69.67000000000007,-0.0072673827303954,-0.0072673827303954
2025-07-23,OI,9570.0,OI509,9451.0,OI509,9451.0,20509.0,20509.0,-119.0,-119.0,-0.0124346917450365,-0.0124346917450365
2025-07-24,OI,9590.0,OI509,9462.0,OI509,9462.0,20509.0,20509.0,-128.0,-128.0,-0.0133472367049009,-0.0133472367049009
2025-07-25,OI,9590.0,OI509,9441.0,OI509,9441.0,20509.0,20509.0,-149.0,-149.0,-0.0155370177267987,-0.0155370177267987
2025-07-28,OI,9521.67,OI509,9412.0,OI509,9412.0,20509.0,20509.0,-109.67000000000009,-109.67000000000009,-0.0115179375046604,-0.0115179375046604
2025-07-29,OI,9600.0,OI509,9464.0,OI509,9464.0,20509.0,20509.0,-136.0,-136.0,-0.0141666666666666,-0.0141666666666666
2025-07-30,OI,9600.0,OI509,9571.0,OI509,9571.0,20509.0,20509.0,-29.0,-29.0,-0.0030208333333333,-0.0030208333333333
2025-07-31,OI,9621.67,OI509,9547.0,OI509,9547.0,20509.0,20509.0,-74.67000000000007,-74.67000000000007,-0.0077606070463859,-0.0077606070463859
2025-08-01,OI,9623.33,OI509,9495.0,OI509,9495.0,20509.0,20509.0,-128.32999999999993,-128.32999999999993,-0.0133353007742641,-0.0133353007742641
2025-08-04,OI,9623.33,OI509,9490.0,OI509,9490.0,20509.0,20509.0,-133.32999999999993,-133.32999999999993,-0.0138548714426295,-0.0138548714426295
2025-08-05,OI,9708.33,OI509,9566.0,OI509,9566.0,20509.0,20509.0,-142.32999999999993,-142.32999999999993,-0.0146606058920535,-0.0146606058920535
2025-08-06,OI,9678.33,OI509,9576.0,OI509,9576.0,20509.0,20509.0,-102.32999999999991,-102.32999999999991,-0.0105731050708128,-0.0105731050708128
2025-08-07,OI,9598.33,OI509,9558.0,OI601,9532.0,20509.0,20601.0,-40.32999999999993,-66.32999999999993,-0.0042017726000251,-0.0069105771524837
2025-08-08,OI,9678.33,OI509,9560.0,OI601,9543.0,20509.0,20601.0,-118.32999999999991,-135.32999999999993,-0.012226282840118,-0.0139827842200048
2025-08-11,OI,9698.33,OI509,9560.0,OI601,9557.0,20509.0,20601.0,-138.32999999999993,-141.32999999999993,-0.0142632803791993,-0.0145726119857748
2025-08-12,OI,9906.67,OI509,9708.0,OI601,9711.0,20509.0,20601.0,-198.67000000000007,-195.67000000000007,-0.0200541655268622,-0.0197513392492129
2025-08-13,OI,10185.0,OI509,10099.0,OI601,10104.0,20509.0,20601.0,-86.0,-81.0,-0.0084437898870888,-0.0079528718703976
2025-08-14,OI,9956.67,OI509,9935.0,OI601,9924.0,20509.0,20601.0,-21.67000000000008,-32.67000000000007,-0.0021764304732405,-0.0032812175154945
