date,receipt,change
2025-07-28,760,
2025-07-29,760,
2025-07-30,760,0.0
2025-07-31,760,0.0
2025-08-01,760,0.0
2025-08-04,760,
2025-08-05,760,0.0
2025-08-06,800,
2025-08-07,800,0.0
2025-08-08,800,0.0
2025-08-11,800,0.0
2025-08-12,800,0.0
2025-08-13,800,0.0
2025-08-14,820,20.0
2025-08-15,820,0.0
2025-08-18,820,0.0
2025-08-19,820,0.0
2025-08-20,820,0.0
2025-08-21,820,0.0
2025-08-22,820,0.0
2025-08-25,820,0.0
2025-08-26,820,0.0
2025-08-27,820,0.0
2025-08-28,820,0.0
2025-08-29,910,90.0
2025-09-01,970,60.0
2025-09-02,1060,90.0
2025-09-03,1070,10.0
2025-09-04,1070,0.0
2025-09-05,1210,140.0
2025-09-08,1210,0.0
2025-09-09,1310,100.0
2025-09-10,1430,120.0
2025-09-11,1520,90.0
2025-09-12,1520,0.0
2025-09-15,1520,0.0
2025-09-16,1550,30.0
2025-09-17,1550,0.0
2025-09-18,1550,0.0
2025-09-19,1550,0.0
2025-09-22,1550,0.0
2025-09-23,1540,-10.0
2025-09-24,1690,150.0
2025-09-25,1690,0.0
2025-09-26,1690,0.0
2025-09-29,1690,0.0
2025-09-30,2140,450.0
2025-10-09,2150,10.0
2025-10-10,2150,0.0
2025-10-13,2190,40.0
2025-10-14,2190,0.0
2025-10-15,2190,0.0
2025-10-16,2190,0.0
2025-10-17,2110,-80.0
2025-10-20,2050,-60.0
2025-10-21,2050,0.0
2025-10-22,2070,20.0
2025-10-23,2070,0.0
2025-10-24,2070,0.0
2025-10-27,2070,0.0
2025-10-28,2070,0.0
2025-10-29,2070,0.0
2025-10-30,2070,0.0
2025-10-31,2070,0.0
2025-11-03,2070,0.0
2025-11-04,2070,0.0
2025-11-05,2070,0.0
2025-11-06,2070,0.0
2025-11-07,2070,0.0
2025-11-10,2070,0.0
2025-11-11,2070,0.0
2025-11-12,2070,0.0
2025-11-13,2070,0.0
2025-11-14,2070,0.0
2026-03-18,1090,
2026-03-19,1060,-30.0
2026-03-20,1060,0.0
2026-03-23,1060,0.0
2026-03-24,1060,0.0
2026-03-25,1060,0.0
2026-03-26,1060,0.0
2026-03-27,1060,0.0
2026-03-30,20,-1040.0
2026-03-31,0,-20.0
2026-04-01,1200,1200.0
2026-04-02,1200,0.0
2026-04-03,1200,0.0
2026-04-07,1200,0.0
2026-04-08,1200,0.0
2026-04-09,1230,30.0
2026-04-10,1230,0.0
2026-04-13,1230,0.0
2026-04-14,1230,0.0
2026-04-15,1230,0.0
2026-04-16,1230,0.0
2026-04-17,1230,0.0
2026-04-20,1230,0.0
2026-04-21,1230,0.0
2026-04-22,1230,0.0
2026-04-23,1230,0.0
2026-04-24,1230,0.0
2026-04-27,1230,0.0
2026-04-28,1230,0.0
2026-04-29,1230,0.0
2026-04-30,1230,0.0
2026-05-06,1240,10.0
2026-05-07,1419,179.0
2026-05-08,1659,240.0
2026-05-11,1659,0.0
2026-05-12,1659,0.0
2026-05-13,1609,-50.0
2026-05-14,1819,210.0
2026-05-15,1806,-13.0
2026-05-18,1806,0.0
2026-05-19,1771,-35.0
2026-05-20,1771,0.0
2026-05-21,1771,0.0
2026-05-22,1753,-18.0
2026-05-25,1698,-55.0
2026-05-26,1698,0.0
2026-05-27,1698,0.0
2026-05-28,1698,0.0
2026-05-29,1698,0.0
2026-06-01,1698,0.0
2026-06-02,1569,-129.0
2026-06-03,1559,-10.0
2026-06-04,1549,-10.0
2026-06-05,1589,40.0
2026-06-08,1589,0.0
2026-06-09,1589,0.0
2026-06-10,1589,0.0
2026-06-11,1589,0.0
2026-06-12,1589,0.0
2026-06-15,1589,0.0
2026-06-16,1589,0.0
2026-06-17,1589,0.0
2026-06-18,1589,0.0
2026-06-22,1583,-6.0
2026-06-23,1583,0.0
2026-06-24,1583,0.0
2026-06-25,1583,0.0
2026-06-26,1583,0.0
