date,value,增减
2025-05-13,7180,0.0
2025-05-14,7120,-60.0
2025-05-15,7320,200.0
2025-05-16,6980,-340.0
2025-05-19,6680,-300.0
2025-05-20,6620,-60.0
2025-05-21,6820,200.0
2025-05-22,6820,0.0
2025-05-23,6790,-30.0
2025-05-26,6750,-40.0
2025-05-27,6400,-350.0
2025-05-28,6230,-170.0
2025-05-29,6230,0.0
2025-05-30,6210,-20.0
2025-06-03,6120,-90.0
2025-06-04,6050,-70.0
2025-06-05,5950,-100.0
2025-06-06,5950,0.0
2025-06-09,5780,-170.0
2025-06-10,5720,-60.0
2025-06-11,5570,-150.0
2025-06-12,5470,-100.0
2025-06-13,5170,-300.0
2025-06-16,5170,0.0
2025-06-17,5170,0.0
2025-06-18,5170,0.0
2025-06-19,800,-4370.0
2025-06-20,800,0.0
2025-06-23,800,0.0
2025-06-24,800,0.0
2025-06-25,800,0.0
2025-06-26,700,-100.0
2025-06-27,700,0.0
2025-06-30,700,0.0
2025-07-01,700,0.0
2025-07-02,700,0.0
2025-07-03,700,0.0
2025-07-04,700,0.0
2025-07-07,1100,400.0
2025-07-08,1600,500.0
2025-07-09,1600,0.0
2025-07-10,1600,0.0
2025-07-11,1600,0.0
2025-07-14,1900,300.0
2025-07-15,2100,200.0
2025-07-16,2100,0.0
2025-07-17,2100,0.0
2025-07-18,2100,0.0
2025-07-21,2100,0.0
2025-07-22,2400,300.0
2025-07-23,2390,-10.0
2025-07-24,2390,0.0
2025-07-25,2390,0.0
2025-07-28,2290,-100.0
2025-07-29,2290,0.0
2025-07-30,2290,0.0
2025-07-31,2290,0.0
2025-08-01,2290,0.0
2025-08-04,2490,200.0
2025-08-05,2490,0.0
2025-08-06,2490,0.0
2025-08-07,2490,0.0
2025-08-08,2490,0.0
2025-08-11,2490,0.0
2025-08-12,2490,0.0
2025-08-13,2490,0.0
2025-08-14,2490,0.0
2025-08-15,2490,0.0
2025-08-18,2490,0.0
2025-08-19,2490,0.0
2025-08-20,2490,0.0
2025-08-21,2490,0.0
2025-08-22,2490,0.0
2025-08-25,2490,0.0
2025-08-26,2490,0.0
2025-08-27,2490,0.0
2025-08-28,2490,0.0
2025-08-29,2490,0.0
2025-09-01,2670,180.0
2025-09-02,2770,100.0
2025-09-03,2770,0.0
2025-09-04,2770,0.0
2025-09-05,2970,200.0
2025-09-08,2970,0.0
2025-09-09,2970,0.0
2025-09-10,2970,0.0
2025-09-11,2970,0.0
2025-09-12,2970,0.0
2025-09-15,2970,0.0
2025-09-16,2970,0.0
2025-09-17,2970,0.0
2025-09-18,2610,-360.0
2025-09-19,2610,0.0
