时间,开盘,最高,最低,收盘,成交量,持仓量
2024-12-26,44000,44000,41010,41570,301655,31271
2024-12-27,41600,42160,41225,41950,172813,32846
2024-12-30,41900,43010,41750,42535,136506,35565
2024-12-31,42570,42705,42230,42465,74312,31540
2025-01-02,42315,42680,42315,42570,36858,30447
2025-01-03,42570,42780,42365,42560,37079,29242
2025-01-06,42600,43600,42560,43325,68310,31663
2025-01-07,43325,43450,42765,43185,39615,30357
2025-01-08,43185,43390,42650,42700,30253,28183
2025-01-09,43000,43000,42165,42575,36908,27681
2025-01-10,42660,43480,42435,43070,33598,26973
2025-01-13,43270,43480,42865,43385,22370,26759
2025-01-14,43305,43850,43120,43650,34850,28130
2025-01-15,43550,44640,43550,44225,79215,30974
2025-01-16,44235,44445,43800,44130,29190,29862
2025-01-17,44130,45190,44015,44940,63067,33745
2025-01-20,44505,45060,44505,44705,22940,31434
2025-01-21,44780,44850,43940,44265,33834,27276
2025-01-22,44000,44185,43360,43770,29641,25171
2025-01-23,43760,43965,43315,43380,17719,23863
2025-01-24,43310,43770,42965,43195,21936,22291
2025-01-27,43325,43735,43100,43730,10720,21281
2025-02-05,43540,44140,42820,43200,16243,21144
2025-02-06,43200,43880,43180,43795,14408,21881
2025-02-07,43800,44645,43740,44105,29414,23491
2025-02-10,44000,44555,43805,44435,15906,22558
2025-02-11,44500,44550,43705,43870,17071,20978
2025-02-12,43810,44275,43800,43915,10612,21113
2025-02-13,43950,44150,43620,43810,10801,20722
2025-02-14,44100,44260,43845,44150,10245,20607
2025-02-17,44100,44360,43915,44270,11211,21064
2025-02-18,44270,44400,44085,44160,8338,20826
2025-02-19,44270,44275,44015,44060,6023,20673
2025-02-20,43950,44080,43660,43765,12769,21133
2025-02-21,43860,44100,43555,43825,9263,20748
2025-02-24,43690,43920,43610,43900,5589,20892
2025-02-25,43840,44065,43710,43835,10150,20268
2025-02-26,43805,44600,43660,44515,24931,22666
2025-02-27,44500,44795,44310,44550,15975,22751
2025-02-28,44535,44620,44155,44265,8912,21465
2025-03-03,44265,44480,44125,44390,6564,21668
2025-03-04,44290,44415,43800,44100,8341,21212
2025-03-05,44100,44145,43800,43875,8253,22081
2025-03-06,43905,44480,43720,44400,19426,24043
2025-03-07,44400,44450,43980,44015,8087,23011
2025-03-10,44060,44200,43815,43850,7812,23847
2025-03-11,43900,44180,43900,44150,8147,24000
2025-03-12,44160,44255,43910,44050,6314,24087
2025-03-13,44060,44230,43950,44120,6781,24270
2025-03-14,43995,44185,43750,43770,12131,25293
2025-03-17,43780,43780,43070,43220,25926,27936
2025-03-18,43220,43495,42480,43080,37040,29242
2025-03-19,43135,43660,42700,43610,25441,29415
2025-03-20,43610,43990,43355,43695,27964,28956
2025-03-21,43790,43890,43340,43515,13387,29108
2025-03-24,43550,43750,43405,43640,9043,28148
2025-03-25,43640,43860,43600,43795,9404,27517
2025-03-26,43840,43990,43600,43640,12352,27277
2025-03-27,43680,43880,43560,43760,7933,27255
2025-03-28,43760,43850,43510,43650,7080,27368
2025-03-31,43635,43635,43285,43460,9308,27527
2025-04-01,43500,43650,43325,43560,7083,26637
2025-04-02,43500,43780,43425,43680,11281,28096
2025-04-03,43570,43775,43370,43650,14315,31402
2025-04-07,43050,43635,42865,43265,23305,31402
2025-04-08,43280,43420,40880,42405,54034,35997
2025-04-09,42000,42340,41100,42245,31051,35983
2025-04-10,42885,43300,42100,42190,21615,36458
2025-04-11,41700,42085,41350,41835,27028,37060
2025-04-14,42080,42150,41410,41550,23043,40140
2025-04-15,41500,41580,40115,40485,65060,49439
2025-04-16,40690,40800,39505,40265,74118,54112
2025-04-17,40165,40680,39340,39440,64390,56218
2025-04-18,39390,39400,37390,37615,201470,62628
2025-04-21,37800,38710,37135,38420,159263,66430
2025-04-22,38000,38550,37680,38020,129087,66241
2025-04-23,38305,39325,38105,39135,89640,60991
2025-04-24,38900,39840,38500,39375,107014,59000
2025-04-25,39375,39415,38380,38390,95530,56040
2025-04-28,38390,38495,37730,37780,80862,55092
2025-04-29,37500,37835,36895,37320,116998,58208
2025-04-30,37220,37920,36665,37245,124573,54266
2025-05-06,37200,37350,36325,36410,80443,54266
2025-05-07,36670,37140,35470,35520,135166,63290
2025-05-08,35495,37320,34375,36950,455041,67502
2025-05-09,37420,38175,36820,37830,443819,67256
2025-05-12,38100,38640,37200,38450,322808,69417
