date,symbol,close,volume,open_interest,roll_yield
20250722,PL2601,6613.0,43897,7983,0.1011901794917268
20250722,PL2602,6669.0,2371,1444,-0.1776467488132607
20250722,PL2603,6571.0,681,395,0.0855261790042765
20250722,PL2604,6618.0,21,12,-0.1239379182271188
20250722,PL2605,6550.0,266,116,0.109423250597212
20250722,PL2606,6610.0,12,6,-0.0254429899949096
20250722,PL2607,6596.0,15,8,0.0
20250723,PL2601,6578.0,20996,6668,0.1198013278101984
20250723,PL2602,6644.0,728,1449,-0.1545124732734004
20250723,PL2603,6559.0,113,438,0.0547612754410115
20250723,PL2604,6589.0,9,7,-0.15027685702603
20250723,PL2605,6507.0,16,107,0.0
20250724,PL2601,6601.0,7405,6140,0.1571246769092018
20250724,PL2602,6688.0,162,1425,-0.180780761604079
20250724,PL2603,6588.0,22,427,-0.1724536636168755
20250724,PL2604,6494.0,1,7,0.0534686295996573
20250724,PL2605,6523.0,44,99,0.0
20250725,PL2601,6657.0,9663,5838,0.0862150093809021
20250725,PL2602,6705.0,167,1412,-0.1785022771805267
20250725,PL2603,6606.0,27,427,0.018151569033508
20250725,PL2604,6616.0,10,13,-0.0782473012794124
20250725,PL2605,6573.0,60,107,0.1343433093360687
20250725,PL2606,6647.0,1,6,-0.0018054615245069
20250725,PL2607,6646.0,1,9,0.0
20250728,PL2601,6570.0,6292,5580,0.1344043110543511
20250728,PL2602,6644.0,159,1373,-0.1508539366596948
20250728,PL2603,6561.0,19,421,0.1345876490571638
20250728,PL2604,6635.0,2,11,-0.2319177411285539
20250728,PL2605,6508.0,13,109,0.1484328308986988
20250728,PL2606,6589.0,1,6,0.0
20250729,PL2601,6573.0,3081,5230,0.1235064633256501
20250729,PL2602,6641.0,93,1333,-0.1271583197141492
20250729,PL2603,6571.0,6,420,0.0036518563884992
20250729,PL2604,6573.0,1,11,0.0
20250730,PL2601,6570.0,2669,4992,0.1036605673148491
20250730,PL2602,6627.0,219,1305,-0.1164527713740494
20250730,PL2603,6563.0,13,421,0.0692800465805759
20250730,PL2604,6601.0,3,11,-0.1500019531707779
20250730,PL2605,6519.0,10,106,0.0
20250731,PL2601,6545.0,2343,4700,0.1167714855174292
20250731,PL2602,6609.0,202,1156,-0.1112723637531279
20250731,PL2603,6548.0,17,421,0.0439024879935986
20250731,PL2604,6572.0,3,9,-0.145122319784063
20250731,PL2605,6493.0,5,104,0.0
20250801,PL2601,6474.0,3454,4575,0.1601864983042552
20250801,PL2602,6561.0,77,1127,-0.0770644850440582
20250801,PL2603,6519.0,79,380,-0.009207397060326
20250801,PL2604,6514.0,14,13,-0.2212472618788284
20250801,PL2605,6395.0,61,98,0.2892152966271993
20250801,PL2606,6551.0,1,7,-0.0146632063456514
20250801,PL2607,6543.0,2,9,0.0
20250804,PL2601,6481.0,2137,4486,0.1032423022201631
