date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,ZN,22002.0,zn2506,21985.0,zn2507,21800.0,2506.0,2507.0,-17.0,-202.0,-0.000772657031179,-0.0091809835469502
2025-06-17,ZN,22008.0,zn2507,21875.0,zn2507,21875.0,2507.0,2507.0,-133.0,-133.0,-0.0060432569974554,-0.0060432569974554
2025-06-18,ZN,22148.0,zn2507,21995.0,zn2508,21775.0,2507.0,2508.0,-153.0,-373.0,-0.0069080729636987,-0.0168412497742459
2025-06-19,ZN,21974.0,zn2507,21905.0,zn2508,21705.0,2507.0,2508.0,-69.0,-269.0,-0.0031400746336579,-0.0122417402384636
2025-06-20,ZN,22032.0,zn2507,21905.0,zn2508,21740.0,2507.0,2508.0,-127.0,-292.0,-0.0057643427741467,-0.0132534495279593
2025-06-23,ZN,21922.0,zn2507,21930.0,zn2508,21735.0,2507.0,2508.0,8.0,-187.0,0.0003649302070978,-0.0085302435909132
2025-06-24,ZN,22134.0,zn2507,22080.0,zn2508,21920.0,2507.0,2508.0,-54.0,-214.0,-0.0024396855516399,-0.0096683834824252
2025-06-25,ZN,22176.0,zn2507,22125.0,zn2508,21965.0,2507.0,2508.0,-51.0,-211.0,-0.0022997835497835,-0.0095147907647907
2025-06-26,ZN,22244.0,zn2507,22265.0,zn2508,22155.0,2507.0,2508.0,21.0,-89.0,0.0009440748066893,-0.0040010789426362
2025-06-27,ZN,22568.0,zn2507,22510.0,zn2508,22425.0,2507.0,2508.0,-58.0,-143.0,-0.0025700106345267,-0.0063364055299539
2025-06-30,ZN,22486.0,zn2507,22490.0,zn2508,22435.0,2507.0,2508.0,4.0,-51.0,0.0001778884639331,-0.0022680779151471
2025-07-01,ZN,22258.0,zn2507,22310.0,zn2508,22255.0,2507.0,2508.0,52.0,-3.0,0.0023362386557641,-0.0001347829993709
