date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,Y,8224.0,y2507,8036.0,y2509,7926.0,2507.0,2509.0,-188.0,-298.0,-0.0228599221789883,-0.0362354085603112
2025-06-17,Y,8234.0,y2507,8076.0,y2509,7968.0,2507.0,2509.0,-158.0,-266.0,-0.0191887296575176,-0.0323050765120233
2025-06-18,Y,8234.0,y2507,8138.0,y2509,8036.0,2507.0,2509.0,-96.0,-198.0,-0.0116589749817828,-0.0240466358999271
2025-06-19,Y,8394.0,y2507,8232.0,y2509,8120.0,2507.0,2509.0,-162.0,-274.0,-0.0192994996426019,-0.0326423635930426
2025-06-20,Y,8414.0,y2507,8278.0,y2509,8162.0,2507.0,2509.0,-136.0,-252.0,-0.0161635369622058,-0.0299500831946755
2025-06-23,Y,8394.0,y2507,8246.0,y2509,8130.0,2507.0,2509.0,-148.0,-264.0,-0.0176316416487967,-0.0314510364546104
2025-06-24,Y,8214.0,y2507,8110.0,y2509,8004.0,2507.0,2509.0,-104.0,-210.0,-0.0126613099586072,-0.0255661066471877
2025-06-25,Y,8244.0,y2507,8076.0,y2509,7954.0,2507.0,2509.0,-168.0,-290.0,-0.0203784570596797,-0.0351770984958758
2025-06-26,Y,8254.0,y2507,8104.0,y2509,7982.0,2507.0,2509.0,-150.0,-272.0,-0.018173007026896,-0.0329537194087714
2025-06-27,Y,8254.0,y2507,8114.0,y2509,8002.0,2507.0,2509.0,-140.0,-252.0,-0.0169614732251029,-0.0305306518051853
2025-06-30,Y,8234.0,y2507,8068.0,y2509,7974.0,2507.0,2509.0,-166.0,-260.0,-0.0201603109059995,-0.0315763905756618
2025-07-01,Y,8224.0,y2507,8038.0,y2509,7968.0,2507.0,2509.0,-186.0,-256.0,-0.0226167315175097,-0.0311284046692607
2025-07-02,Y,8284.0,y2507,8038.0,y2509,7982.0,2507.0,2509.0,-246.0,-302.0,-0.0296957991308546,-0.0364558184451955
2025-07-03,Y,8264.0,y2507,8038.0,y2509,8020.0,2507.0,2509.0,-226.0,-244.0,-0.0273475314617618,-0.0295256534365924
2025-07-04,Y,8214.0,y2507,8038.0,y2509,7968.0,2507.0,2509.0,-176.0,-246.0,-0.021426832237643,-0.0299488677867055
2025-07-07,Y,8154.0,y2507,8038.0,y2509,7896.0,2507.0,2509.0,-116.0,-258.0,-0.0142261466764778,-0.0316409124356144
2025-07-08,Y,8194.0,y2507,8038.0,y2509,7908.0,2507.0,2509.0,-156.0,-286.0,-0.0190383207224799,-0.034903587991213
2025-07-09,Y,8182.0,y2507,8038.0,y2509,7922.0,2507.0,2509.0,-144.0,-260.0,-0.01759960889758,-0.0317770716206307
2025-07-10,Y,8214.0,y2507,7970.0,y2509,7928.0,2507.0,2509.0,-244.0,-286.0,-0.0297053810567323,-0.0348186023861699
2025-07-11,Y,8254.0,y2507,7970.0,y2509,7970.0,2507.0,2509.0,-284.0,-284.0,-0.0344075599709231,-0.0344075599709231
2025-07-14,Y,8254.0,y2507,8050.0,y2509,7988.0,2507.0,2509.0,-204.0,-266.0,-0.0247152895565786,-0.0322267991276956
2025-07-15,Y,8264.0,y2508,8016.0,y2509,8012.0,2508.0,2509.0,-248.0,-252.0,-0.0300096805421103,-0.0304937076476282
2025-07-16,Y,8304.0,y2508,8028.0,y2509,8032.0,2508.0,2509.0,-276.0,-272.0,-0.0332369942196532,-0.0327552986512523
2025-07-17,Y,8334.0,y2508,8030.0,y2509,8052.0,2508.0,2509.0,-304.0,-282.0,-0.0364770818334533,-0.0338372930165586
2025-07-18,Y,8414.0,y2508,8138.0,y2509,8130.0,2508.0,2509.0,-276.0,-284.0,-0.0328024720703589,-0.0337532683622533
2025-07-21,Y,8364.0,y2508,8132.0,y2509,8124.0,2508.0,2509.0,-232.0,-240.0,-0.0277379244380678,-0.0286944045911047
2025-07-22,Y,8334.0,y2508,8052.0,y2509,8072.0,2508.0,2509.0,-282.0,-262.0,-0.0338372930165586,-0.0314374850011999
2025-07-23,Y,8334.0,y2508,8062.0,y2509,8072.0,2508.0,2509.0,-272.0,-262.0,-0.0326373890088792,-0.0314374850011999
2025-07-24,Y,8414.0,y2508,8114.0,y2509,8112.0,2508.0,2509.0,-300.0,-302.0,-0.0356548609460423,-0.0358925600190159
2025-07-25,Y,8414.0,y2508,8232.0,y2509,8160.0,2508.0,2509.0,-182.0,-254.0,-0.0216306156405989,-0.0301877822676491
2025-07-28,Y,8384.0,y2508,8214.0,y2509,8114.0,2508.0,2509.0,-170.0,-270.0,-0.0202767175572519,-0.0322041984732824
2025-07-29,Y,8484.0,y2508,8188.0,y2509,8174.0,2508.0,2509.0,-296.0,-310.0,-0.0348892032060348,-0.0365393682225365
2025-07-30,Y,8484.0,y2508,8266.0,y2509,8244.0,2508.0,2509.0,-218.0,-240.0,-0.0256954266855257,-0.0282885431400282
2025-07-31,Y,8454.0,y2508,8240.0,y2509,8206.0,2508.0,2509.0,-214.0,-248.0,-0.0253134610835107,-0.0293352259285545
2025-08-01,Y,8484.0,y2508,8240.0,y2509,8228.0,2508.0,2509.0,-244.0,-256.0,-0.0287600188590287,-0.0301744460160301
2025-08-04,Y,8428.0,y2508,8284.0,y2509,8246.0,2508.0,2509.0,-144.0,-182.0,-0.0170859041290935,-0.021594684385382
2025-08-05,Y,8448.0,y2508,8284.0,y2601,8264.0,2508.0,2601.0,-164.0,-184.0,-0.0194128787878787,-0.0217803030303029
2025-08-06,Y,8472.0,y2508,8514.0,y2601,8334.0,2508.0,2601.0,42.0,-138.0,0.004957507082153,-0.0162889518413598
2025-08-07,Y,8458.0,y2508,8514.0,y2601,8404.0,2508.0,2601.0,56.0,-54.0,0.006620950579333,-0.0063844880586426
2025-08-08,Y,8468.0,y2508,8586.0,y2601,8396.0,2508.0,2601.0,118.0,-72.0,0.0139348134152101,-0.0085025980160604
2025-08-11,Y,8508.0,y2508,8636.0,y2601,8400.0,2508.0,2601.0,128.0,-108.0,0.0150446638457921,-0.0126939351198871
2025-08-12,Y,8558.0,y2508,9148.0,y2601,8450.0,2508.0,2601.0,590.0,-108.0,0.0689413414349147,-0.0126197709745267
2025-08-13,Y,8648.0,y2508,9386.0,y2601,8560.0,2508.0,2601.0,738.0,-88.0,0.0853376503237743,-0.0101757631822386
2025-08-14,Y,8598.0,y2508,8350.0,y2601,8550.0,2508.0,2601.0,-248.0,-48.0,-0.0288439171900442,-0.0055826936496859
2025-08-15,Y,8608.0,y2509,8538.0,y2601,8512.0,2509.0,2601.0,-70.0,-96.0,-0.008131970260223,-0.0111524163568773
2025-08-18,Y,8598.0,y2509,8596.0,y2601,8562.0,y2509,y2601,-2.0,-36.0,-0.0002326122354036,-0.0041870202372644
2025-08-19,Y,8598.0,y2509,8580.0,y2601,8552.0,y2509,y2601,-18.0,-46.0,-0.0020935101186322,-0.0053500814142823
2025-08-20,Y,8498.0,y2509,8446.0,y2601,8408.0,y2509,y2601,-52.0,-90.0,-0.0061190868439633,-0.0105907272299364
2025-08-21,Y,8468.0,y2509,8440.0,y2601,8404.0,y2509,y2601,-28.0,-64.0,-0.0033065658951346,-0.0075578649031649
2025-08-22,Y,8528.0,y2509,8470.0,y2601,8440.0,2509.0,2601.0,-58.0,-88.0,-0.0068011257035647,-0.0103189493433395
2025-08-25,Y,8568.0,y2509,8514.0,y2601,8472.0,y2509,y2601,-54.0,-96.0,-0.0063025210084033,-0.011204481792717
2025-08-26,Y,8538.0,y2509,8554.0,y2601,8492.0,y2509,y2601,16.0,-46.0,0.0018739751698289,-0.0053876786132583
2025-08-27,Y,8468.0,y2509,8492.0,y2601,8418.0,y2509,y2601,24.0,-50.0,0.0028341993386868,-0.0059045819555975
2025-08-28,Y,8448.0,y2509,8452.0,y2601,8390.0,y2509,y2601,4.0,-58.0,0.0004734848484848,-0.0068655303030302
2025-08-29,Y,8428.0,y2509,8414.0,y2601,8358.0,y2509,y2601,-14.0,-70.0,-0.0016611295681062,-0.0083056478405315
2025-09-01,Y,8420.0,y2509,8400.0,y2601,8330.0,y2509,y2601,-20.0,-90.0,-0.002375296912114,-0.0106888361045131
2025-09-02,Y,8420.0,y2509,8410.0,y2601,8364.0,y2509,y2601,-10.0,-56.0,-0.001187648456057,-0.0066508313539191
2025-09-03,Y,8438.0,y2509,8456.0,y2601,8368.0,y2509,y2601,18.0,-70.0,0.0021332069210713,-0.0082958046930552
2025-09-04,Y,8428.0,y2509,8410.0,y2601,8348.0,y2509,y2601,-18.0,-80.0,-0.0021357380161366,-0.0094921689606074
2025-09-05,Y,8528.0,y2509,8420.0,y2601,8400.0,y2509,y2601,-108.0,-128.0,-0.0126641651031894,-0.0150093808630393
2025-09-08,Y,8488.0,y2509,8420.0,y2601,8408.0,y2509,y2601,-68.0,-80.0,-0.0080113100848255,-0.0094250706880301
2025-09-09,Y,8488.0,y2509,8286.0,y2601,8418.0,y2509,y2601,-202.0,-70.0,-0.0237983034872761,-0.0082469368520263
2025-09-10,Y,8368.0,y2509,8414.0,y2601,8322.0,y2509,y2601,46.0,-46.0,0.0054971319311662,-0.0054971319311662
2025-09-11,Y,8408.0,y2509,8268.0,y2601,8292.0,y2509,y2601,-140.0,-116.0,-0.016650808753568,-0.0137963843958135
2025-09-12,Y,8398.0,y2509,8398.0,y2601,8336.0,y2509,y2601,0.0,-62.0,0.0,-0.0073827101690878
2025-09-15,Y,8448.0,y2511,8384.0,y2601,8356.0,y2511,y2601,-64.0,-92.0,-0.0075757575757575,-0.0108901515151514
2025-09-16,Y,8508.0,y2511,8446.0,y2601,8418.0,y2511,y2601,-62.0,-90.0,-0.0072872590503055,-0.0105782792665726
2025-09-17,Y,8448.0,y2511,8440.0,y2601,8422.0,y2511,y2601,-8.0,-26.0,-0.0009469696969697,-0.0030776515151514
2025-09-18,Y,8358.0,y2511,8308.0,y2601,8306.0,y2511,y2601,-50.0,-52.0,-0.0059822924144532,-0.0062215841110313
2025-09-19,Y,8408.0,y2511,8350.0,y2601,8336.0,y2511,y2601,-58.0,-72.0,-0.0068981921979067,-0.0085632730732635
2025-11-17,Y,8462.0,y2512,8338.0,y2601,8282.0,2512,2601,-124.0,-180.0,-0.0146537461593003,-0.021271567005436
2025-11-18,Y,8514.0,y2512,8372.0,y2601,8320.0,2512,2601,-142.0,-194.0,-0.0166784120272492,-0.0227859995301855
2025-11-19,Y,8552.0,y2512,8444.0,y2601,8356.0,2512,2601,-108.0,-196.0,-0.0126286248830682,-0.0229186155285313
2025-11-20,Y,8422.0,y2512,8324.0,y2601,8224.0,2512,2601,-98.0,-198.0,-0.0116361909285205,-0.0235098551412965
