date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,SF,5054.29,SF506,5224.0,SF509,5218.0,20506.0,20509.0,169.71000000000004,163.71000000000004,0.0335774164125921,0.0323903060568349
2025-06-17,SF,5054.29,SF507,5382.0,SF509,5272.0,20507.0,20509.0,327.71000000000004,217.71000000000004,0.0648379891141981,0.0430742992586496
2025-06-18,SF,5054.29,SF507,5418.0,SF509,5282.0,20507.0,20509.0,363.71,227.71000000000004,0.0719606512487411,0.0450528165182448
2025-06-19,SF,5114.29,SF507,5454.0,SF509,5290.0,20507.0,20509.0,339.71000000000004,175.71000000000004,0.0664236873544519,0.0343566751201047
2025-06-20,SF,5128.57,SF507,5494.0,SF509,5328.0,20507.0,20509.0,365.4300000000003,199.4300000000003,0.0712537802935322,0.0388860832551765
2025-06-23,SF,5130.0,SF507,5496.0,SF509,5316.0,20507.0,20509.0,366.0,186.0,0.0713450292397661,0.0362573099415204
2025-06-24,SF,5128.57,SF507,5484.0,SF509,5276.0,20507.0,20509.0,355.4300000000003,147.4300000000003,0.0693039190261612,0.0287468046648482
2025-06-25,SF,5125.71,SF507,5524.0,SF509,5332.0,20507.0,20509.0,398.29,206.29,0.0777043570549249,0.0402461317554054
2025-06-26,SF,5132.86,SF507,5550.0,SF509,5380.0,20507.0,20509.0,417.1400000000003,247.1400000000004,0.0812685325530018,0.0481485955198466
2025-06-27,SF,5158.57,SF507,5576.0,SF509,5392.0,20507.0,20509.0,417.4300000000003,233.4300000000003,0.0809197122458356,0.0452509125591007
2025-06-30,SF,5158.57,SF507,5514.0,SF509,5380.0,20507.0,20509.0,355.4300000000003,221.4300000000003,0.0689008775687836,0.0429246864925745
2025-07-01,SF,5158.57,SF507,5350.0,SF509,5258.0,20507.0,20509.0,191.4300000000003,99.43000000000028,0.0371091213262591,0.0192747214828916
2025-07-02,SF,5122.86,SF507,5396.0,SF509,5368.0,20507.0,20509.0,273.1400000000003,245.1400000000004,0.0533178732192565,0.0478521763233819
2025-07-03,SF,5122.86,SF507,5496.0,SF509,5400.0,20507.0,20509.0,373.1400000000003,277.1400000000003,0.0728382192759513,0.0540986870615243
2025-07-04,SF,5152.86,SF507,5528.0,SF509,5404.0,20507.0,20509.0,375.1400000000003,251.1400000000004,0.0728022884378774,0.048737982402006
2025-07-07,SF,5138.57,SF507,5456.0,SF509,5374.0,20507.0,20509.0,317.4300000000003,235.4300000000003,0.0617739954890175,0.0458162484893658
2025-07-08,SF,5138.57,SF507,5430.0,SF509,5352.0,20507.0,20509.0,291.4300000000003,213.4300000000003,0.0567142220501035,0.0415349017333617
2025-07-09,SF,5138.57,SF507,5436.0,SF509,5380.0,20507.0,20509.0,297.4300000000003,241.4300000000003,0.0578818620744683,0.0469838885137305
2025-07-10,SF,5178.57,SF507,5520.0,SF509,5532.0,20507.0,20509.0,341.4300000000003,353.4300000000003,0.0659313285327802,0.0682485705513298
2025-07-11,SF,5217.14,SF507,5552.0,SF509,5522.0,20507.0,20509.0,334.8599999999997,304.8599999999997,0.0641845915578267,0.0584343145861525
2025-07-14,SF,5202.86,SF507,5516.0,SF509,5476.0,20507.0,20509.0,313.1400000000003,273.1400000000003,0.0601861283986115,0.0524980491498907
2025-07-15,SF,5202.86,SF508,5492.0,SF509,5502.0,20508.0,20509.0,289.1400000000003,299.1400000000003,0.0555732808493789,0.0574953006615592
2025-07-16,SF,5202.86,SF508,5440.0,SF509,5452.0,20508.0,20509.0,237.1400000000004,249.1400000000004,0.0455787778260419,0.0478852016006581
2025-07-17,SF,5185.71,SF508,5448.0,SF509,5456.0,20508.0,20509.0,262.29,270.29,0.0505793806441161,0.0521220816435936
2025-07-18,SF,5221.43,SF508,5524.0,SF509,5532.0,20508.0,20509.0,302.5699999999997,310.5699999999997,0.0579477269636861,0.0594798742873119
2025-07-21,SF,5221.43,SF508,5642.0,SF509,5662.0,20508.0,20509.0,420.5699999999997,440.5699999999997,0.0805468999871681,0.0843772682962329
2025-07-22,SF,5382.86,SF508,5740.0,SF509,5780.0,20508.0,20509.0,357.1400000000003,397.1400000000003,0.0663476293271607,0.0737786232597541
2025-07-23,SF,5495.71,SF508,5850.0,SF509,5844.0,20508.0,20509.0,354.29,348.29,0.0644666476215083,0.0633748869572812
2025-07-24,SF,5452.86,SF508,5748.0,SF509,5762.0,20508.0,20509.0,295.1400000000003,309.1400000000003,0.0541257248489783,0.0566931848607887
2025-07-25,SF,5511.43,SF508,5990.0,SF509,5986.0,20508.0,20509.0,478.5699999999997,474.5699999999997,0.0868322740196283,0.0861065095628539
2025-07-28,SF,5561.43,SF508,5892.0,SF509,5902.0,20508.0,20509.0,330.5699999999997,340.5699999999997,0.059439748410031,0.0612378471004759
2025-07-29,SF,5561.43,SF508,5944.0,SF509,5962.0,20508.0,20509.0,382.5699999999997,400.5699999999997,0.0687898616003437,0.0720264392431442
2025-07-30,SF,5590.0,SF508,6076.0,SF509,6100.0,20508.0,20509.0,486.0,510.0,0.0869409660107334,0.0912343470483005
2025-07-31,SF,5528.57,SF508,5722.0,SF509,5786.0,20508.0,20509.0,193.4300000000003,257.4300000000003,0.0349873475419504,0.0465635779234052
2025-08-01,SF,5485.71,SF508,5708.0,SF509,5706.0,20508.0,20509.0,222.29,220.29,0.0405216462408695,0.0401570626227052
2025-08-04,SF,5485.71,SF508,5654.0,SF509,5658.0,20508.0,20509.0,168.28999999999996,172.28999999999996,0.0306778885504337,0.0314070557867622
2025-08-05,SF,5411.43,SF508,5654.0,SF509,5666.0,20508.0,20509.0,242.5699999999997,254.5699999999997,0.0448254897503985,0.0470430182040606
2025-08-06,SF,5510.0,SF508,5858.0,SF511,6070.0,20508.0,20511.0,348.0,560.0,0.063157894736842,0.1016333938294011
2025-08-07,SF,5510.0,SF508,5852.0,SF511,6024.0,20508.0,20511.0,342.0,514.0,0.0620689655172412,0.0932849364791288
2025-08-08,SF,5490.0,SF508,5760.0,SF511,5962.0,20508.0,20511.0,270.0,472.0,0.0491803278688525,0.0859744990892532
2025-08-11,SF,5511.43,SF508,5792.0,SF511,5998.0,20508.0,20511.0,280.5699999999997,486.5699999999997,0.0509069334092966,0.0882838029331769
2025-08-12,SF,5511.43,SF508,5792.0,SF511,6038.0,20508.0,20511.0,280.5699999999997,526.5699999999997,0.0509069334092966,0.0955414475009208
2025-08-13,SF,5511.43,SF508,5804.0,SF511,6050.0,20508.0,20511.0,292.5699999999997,538.5699999999997,0.0530842267796196,0.0977187408712438
2025-08-14,SF,5514.29,SF508,5748.0,SF511,5954.0,20508.0,20511.0,233.71000000000004,439.71,0.0423826095471946,0.0797400934662486
2025-08-15,SF,5504.29,SF509,5732.0,SF511,5902.0,20509.0,20511.0,227.71000000000004,397.71,0.0413695499328705,0.0722545505414866
2025-08-18,SF,5502.86,SF509,5718.0,SF511,5886.0,20509.0,20511.0,215.1400000000004,383.1400000000003,0.0390960336988404,0.0696256128631294
2025-08-19,SF,5398.57,SF509,5578.0,SF511,5722.0,20509.0,20511.0,179.4300000000003,323.4300000000003,0.0332365793163744,0.0599103095819819
2025-08-20,SF,5351.43,SF509,5448.0,SF511,5626.0,20509.0,20511.0,96.56999999999972,274.5699999999997,0.0180456438746279,0.0513077812846285
2025-08-21,SF,5351.43,SF509,5450.0,SF511,5636.0,20509.0,20511.0,98.56999999999972,284.5699999999997,0.018419375755639,0.0531764406896848
2025-08-22,SF,5311.43,SF509,5442.0,SF511,5630.0,2509.0,2511.0,130.5699999999997,318.5699999999997,0.024582833624843,0.0599781979617541
2025-08-25,SF,5311.43,SF509,5492.0,SF511,5688.0,20509.0,20511.0,180.5699999999997,376.5699999999997,0.0339964943527448,0.0708980444061202
2025-08-26,SF,5311.43,SF509,5502.0,SF511,5692.0,20509.0,20511.0,190.5699999999997,380.5699999999997,0.0358792264983252,0.0716511372643524
2025-08-27,SF,5311.43,SF509,5466.0,SF511,5658.0,19509.0,19511.0,154.5699999999997,346.5699999999997,0.0291013907742359,0.0652498479693792
2025-08-28,SF,5310.0,SF509,5426.0,SF511,5620.0,19509.0,19511.0,116.0,310.0,0.0218455743879473,0.0583804143126176
2025-08-29,SF,5310.0,SF509,5364.0,SF511,5566.0,19509.0,19511.0,54.0,256.0,0.0101694915254237,0.048210922787194
2025-09-01,SF,5207.14,SF509,5398.0,SF511,5486.0,19509.0,19511.0,190.85999999999967,278.8599999999997,0.0366535180540565,0.0535533901527516
2025-09-02,SF,5207.14,SF509,5350.0,SF511,5544.0,19509.0,19511.0,142.85999999999967,336.8599999999997,0.0274354060002226,0.0646919422178009
2025-09-03,SF,5207.14,SF509,5350.0,SF511,5536.0,19509.0,19511.0,142.85999999999967,328.8599999999997,0.0274354060002226,0.0631555902088285
2025-09-04,SF,5207.14,SF509,5320.0,SF511,5492.0,19509.0,19511.0,112.85999999999969,284.8599999999997,0.0216740859665764,0.054705654159481
2025-09-05,SF,5214.29,SF509,5424.0,SF511,5584.0,19509.0,19511.0,209.71000000000004,369.71,0.0402183231082275,0.0709032293946059
2025-09-08,SF,5214.29,SF509,5414.0,SF511,5578.0,19509.0,19511.0,199.71000000000004,363.71,0.0383005164653289,0.0697525454088667
2025-09-09,SF,5231.43,SF509,5448.0,SF511,5630.0,19509.0,19511.0,216.5699999999997,398.5699999999997,0.0413978587116714,0.076187581598148
2025-09-10,SF,5260.0,SF509,5464.0,SF511,5636.0,19509.0,19511.0,204.0,376.0,0.0387832699619772,0.0714828897338402
2025-09-11,SF,5264.29,SF509,5464.0,SF511,5640.0,19509.0,19511.0,199.71000000000004,375.71,0.0379367398072674,0.0713695484101371
2025-09-12,SF,5245.71,SF509,5444.0,SF511,5620.0,19509.0,19511.0,198.29,374.29,0.0378004121463062,0.0713516378145189
2025-09-15,SF,5245.71,SF510,5488.0,SF511,5660.0,19510.0,19511.0,242.29,414.29,0.0461882185633593,0.0789769163754763
2025-09-16,SF,5245.71,SF510,5572.0,SF511,5752.0,19510.0,19511.0,326.29,506.29,0.0622013035413699,0.0965150570656785
2025-09-17,SF,5318.57,SF510,5544.0,SF511,5726.0,19510.0,19511.0,225.4300000000003,407.4300000000003,0.0423854532327299,0.0766051777075418
2025-09-18,SF,5318.57,SF510,5602.0,SF511,5780.0,19510.0,19511.0,283.4300000000003,461.4300000000003,0.0532906401532744,0.086758282771497
2025-09-19,SF,5338.57,SF510,5594.0,SF511,5764.0,19510,19511,255.4300000000003,425.4300000000003,0.04784614606533211,0.07968987949956641
