date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,SM,5480.0,SM506,5454.0,SM509,5522.0,20506.0,20509.0,-26.0,42.0,-0.0047445255474453,0.0076642335766423
2025-06-17,SM,5502.0,SM507,5534.0,SM509,5548.0,20507.0,20509.0,32.0,46.0,0.0058160668847691,0.0083605961468555
2025-06-18,SM,5508.0,SM507,5562.0,SM509,5570.0,20507.0,20509.0,54.0,62.0,0.0098039215686274,0.0112563543936092
2025-06-19,SM,5508.0,SM507,5556.0,SM509,5562.0,20507.0,20509.0,48.0,54.0,0.0087145969498909,0.0098039215686274
2025-06-20,SM,5564.0,SM507,5656.0,SM509,5650.0,20507.0,20509.0,92.0,86.0,0.0165348670021567,0.0154565061107116
2025-06-23,SM,5524.0,SM507,5602.0,SM509,5618.0,20507.0,20509.0,78.0,94.0,0.0141202027516291,0.0170166545981174
2025-06-24,SM,5518.0,SM507,5562.0,SM509,5554.0,20507.0,20509.0,44.0,36.0,0.0079739035882566,0.0065241029358462
2025-06-25,SM,5520.0,SM507,5600.0,SM509,5622.0,20507.0,20509.0,80.0,102.0,0.0144927536231884,0.0184782608695652
2025-06-26,SM,5562.0,SM507,5642.0,SM509,5664.0,20507.0,20509.0,80.0,102.0,0.0143833153541892,0.0183387270765911
2025-06-27,SM,5572.0,SM507,5640.0,SM509,5684.0,20507.0,20509.0,68.0,112.0,0.0122038765254846,0.0201005025125629
2025-06-30,SM,5564.0,SM507,5660.0,SM509,5678.0,20507.0,20509.0,96.0,114.0,0.01725377426312,0.020488856937455
2025-07-01,SM,5536.0,SM507,5584.0,SM509,5610.0,20507.0,20509.0,48.0,74.0,0.0086705202312138,0.0133670520231214
2025-07-02,SM,5544.0,SM507,5696.0,SM509,5694.0,20507.0,20509.0,152.0,150.0,0.0274170274170273,0.027056277056277
2025-07-03,SM,5576.0,SM507,5670.0,SM509,5706.0,20507.0,20509.0,94.0,130.0,0.016857962697274,0.0233142037302724
2025-07-04,SM,5576.0,SM507,5648.0,SM509,5690.0,20507.0,20509.0,72.0,114.0,0.0129124820659971,0.0204447632711621
2025-07-07,SM,5556.0,SM507,5604.0,SM509,5648.0,20507.0,20509.0,48.0,92.0,0.0086393088552916,0.0165586753059754
2025-07-08,SM,5536.0,SM507,5612.0,SM509,5646.0,20507.0,20509.0,76.0,110.0,0.0137283236994218,0.0198699421965318
2025-07-09,SM,5546.0,SM507,5654.0,SM509,5682.0,20507.0,20509.0,108.0,136.0,0.0194734944103858,0.0245221781464117
2025-07-10,SM,5622.0,SM507,5756.0,SM509,5792.0,20507.0,20509.0,134.0,170.0,0.023834934187122,0.0302383493418711
2025-07-11,SM,5630.0,SM507,5754.0,SM509,5774.0,20507.0,20509.0,124.0,144.0,0.0220248667850799,0.0255772646536411
2025-07-14,SM,5630.0,SM507,5758.0,SM509,5764.0,20507.0,20509.0,128.0,134.0,0.0227353463587922,0.0238010657193605
2025-07-15,SM,5644.0,SM508,5778.0,SM509,5798.0,20508.0,20509.0,134.0,154.0,0.0237420269312544,0.0272856130403968
2025-07-16,SM,5630.0,SM508,5754.0,SM509,5764.0,20508.0,20509.0,124.0,134.0,0.0220248667850799,0.0238010657193605
2025-07-17,SM,5622.0,SM508,5762.0,SM509,5774.0,20508.0,20509.0,140.0,152.0,0.0249021700462468,0.0270366417644967
2025-07-18,SM,5652.0,SM508,5814.0,SM509,5824.0,20508.0,20509.0,162.0,172.0,0.0286624203821657,0.0304317055909413
2025-07-21,SM,5692.0,SM508,5898.0,SM509,5908.0,20508.0,20509.0,206.0,216.0,0.0361911454673224,0.0379479971890373
2025-07-22,SM,5726.0,SM508,5952.0,SM509,5960.0,20508.0,20509.0,226.0,234.0,0.0394690883688437,0.0408662242403072
2025-07-23,SM,5770.0,SM508,5922.0,SM509,5956.0,20508.0,20509.0,152.0,186.0,0.0263431542461005,0.0322357019064125
2025-07-24,SM,5710.0,SM508,5922.0,SM509,5938.0,20508.0,20509.0,212.0,228.0,0.0371278458844133,0.0399299474605954
2025-07-25,SM,5850.0,SM508,6238.0,SM509,6212.0,20508.0,20509.0,388.0,362.0,0.0663247863247862,0.0618803418803419
2025-07-28,SM,5802.0,SM508,6048.0,SM509,6044.0,20508.0,20509.0,246.0,242.0,0.0423991726990693,0.0417097552568079
2025-07-29,SM,5920.0,SM508,6146.0,SM509,6142.0,20508.0,20509.0,226.0,222.0,0.0381756756756757,0.0375
2025-07-30,SM,5920.0,SM508,6206.0,SM509,6222.0,20508.0,20509.0,286.0,302.0,0.0483108108108107,0.0510135135135134
2025-07-31,SM,5876.0,SM508,6008.0,SM509,5988.0,20508.0,20509.0,132.0,112.0,0.0224642614023145,0.0190605854322667
2025-08-01,SM,5836.0,SM508,5982.0,SM509,5974.0,20508.0,20509.0,146.0,138.0,0.0250171350239889,0.0236463331048664
2025-08-04,SM,5816.0,SM508,5948.0,SM509,5962.0,20508.0,20509.0,132.0,146.0,0.0226960110041265,0.0251031636863823
2025-08-05,SM,5830.0,SM508,5968.0,SM509,5970.0,20508.0,20509.0,138.0,140.0,0.0236706689536878,0.0240137221269296
2025-08-06,SM,5880.0,SM508,6064.0,SM509,6110.0,20508.0,20509.0,184.0,230.0,0.0312925170068028,0.0391156462585033
2025-08-07,SM,5864.0,SM508,6062.0,SM509,6064.0,20508.0,20509.0,198.0,200.0,0.0337653478854025,0.034106412005457
2025-08-08,SM,5846.0,SM508,6050.0,SM509,6034.0,20508.0,20509.0,204.0,188.0,0.0348956551488197,0.0321587410195005
2025-08-11,SM,5880.0,SM508,6082.0,SM509,6100.0,20508.0,20509.0,202.0,220.0,0.0343537414965986,0.0374149659863944
2025-08-12,SM,5916.0,SM508,6116.0,SM509,6114.0,20508.0,20509.0,200.0,198.0,0.0338066260987153,0.0334685598377282
2025-08-13,SM,5920.0,SM508,6094.0,SM601,6210.0,20508.0,20601.0,174.0,290.0,0.0293918918918918,0.0489864864864864
2025-08-14,SM,5900.0,SM508,6024.0,SM601,6158.0,20508.0,20601.0,124.0,258.0,0.0210169491525422,0.0437288135593221
2025-08-15,SM,5870.0,SM509,6010.0,SM601,6098.0,20509.0,20601.0,140.0,228.0,0.0238500851788756,0.0388415672913118
2025-08-18,SM,5874.0,SM509,6018.0,SM601,6110.0,20509.0,20601.0,144.0,236.0,0.0245148110316648,0.0401770514130064
2025-08-19,SM,5840.0,SM509,5894.0,SM601,5970.0,20509.0,20601.0,54.0,130.0,0.0092465753424657,0.0222602739726027
2025-08-20,SM,5810.0,SM509,5776.0,SM601,5844.0,20509.0,20601.0,-34.0,34.0,-0.0058519793459552,0.0058519793459552
2025-08-21,SM,5790.0,SM509,5762.0,SM601,5846.0,20509.0,20601.0,-28.0,56.0,-0.0048359240069084,0.0096718480138169
2025-08-22,SM,5784.0,SM509,5724.0,SM601,5808.0,2509.0,2601.0,-60.0,24.0,-0.0103734439834024,0.0041493775933609
2025-08-25,SM,5784.0,SM509,5794.0,SM601,5884.0,20509.0,20601.0,10.0,100.0,0.001728907330567,0.0172890733056707
2025-08-26,SM,5754.0,SM509,5794.0,SM601,5886.0,20509.0,20601.0,40.0,132.0,0.0069516857838025,0.0229405630865484
2025-08-27,SM,5730.0,SM509,5756.0,SM601,5856.0,19509.0,19601.0,26.0,126.0,0.0045375218150087,0.0219895287958116
2025-08-28,SM,5704.0,SM509,5718.0,SM601,5818.0,19509.0,19601.0,14.0,114.0,0.0024544179523142,0.0199859747545581
2025-08-29,SM,5676.0,SM509,5678.0,SM601,5786.0,19509.0,19601.0,2.0,110.0,0.0003523608174771,0.0193798449612403
2025-09-01,SM,5638.0,SM509,5624.0,SM601,5716.0,19509.0,19601.0,-14.0,78.0,-0.0024831500532103,0.0138346931536006
2025-09-02,SM,5652.0,SM509,5646.0,SM601,5748.0,19509.0,19601.0,-6.0,96.0,-0.0010615711252653,0.0169851380042462
2025-09-03,SM,5652.0,SM509,5644.0,SM601,5744.0,19509.0,19601.0,-8.0,92.0,-0.0014154281670205,0.0162774239207359
2025-09-04,SM,5636.0,SM509,5630.0,SM601,5724.0,19509.0,19601.0,-6.0,88.0,-0.0010645848119233,0.0156139105748758
2025-09-05,SM,5676.0,SM509,5670.0,SM601,5816.0,19509.0,19601.0,-6.0,140.0,-0.0010570824524313,0.0246652572233967
2025-09-08,SM,5688.0,SM509,5708.0,SM601,5806.0,19509.0,19601.0,20.0,118.0,0.0035161744022502,0.0207454289732771
2025-09-09,SM,5692.0,SM509,5742.0,SM601,5838.0,19509.0,19601.0,50.0,146.0,0.0087842586085733,0.0256500351370343
2025-09-10,SM,5696.0,SM509,5726.0,SM601,5852.0,19509.0,19601.0,30.0,156.0,0.0052668539325841,0.0273876404494382
2025-09-11,SM,5676.0,SM509,5770.0,SM601,5860.0,19509.0,19601.0,94.0,184.0,0.0165609584214234,0.0324171952078928
2025-09-12,SM,5666.0,SM509,5712.0,SM601,5836.0,19509.0,19601.0,46.0,170.0,0.0081186021884926,0.0300035298270384
2025-09-15,SM,5678.0,SM510,5792.0,SM601,5884.0,19510.0,19601.0,114.0,206.0,0.0200774920746742,0.0362803804156393
2025-09-16,SM,5752.0,SM510,5850.0,SM601,5962.0,19510.0,19601.0,98.0,210.0,0.0170375521557719,0.0365090403337968
2025-09-17,SM,5756.0,SM510,5848.0,SM601,5956.0,19510.0,19601.0,92.0,200.0,0.0159833217512161,0.0347463516330786
2025-09-18,SM,5766.0,SM510,5870.0,SM601,5976.0,19510.0,19601.0,104.0,210.0,0.0180367672563301,0.0364203954214359
2025-09-19,SM,5760.0,SM510,5880.0,SM601,5980.0,19510.0,19601.0,120.0,220.0,0.0208333333333332,0.0381944444444444
2025-11-17,SM,5536.0,SM512,5774.0,SM601,5792.0,2512.0,2601.0,238.0,256.0,0.0429913294797688,0.0462427745664739
2025-11-18,SM,5524.0,SM512,5654.0,SM601,5680.0,2512.0,2601.0,130.0,156.0,0.0235336712527154,0.0282404055032585
2025-11-19,SM,5466.0,SM512,5622.0,SM601,5642.0,2512.0,2601.0,156.0,176.0,0.0285400658616905,0.0321990486644712
2025-11-20,SM,5446.0,SM512,5594.0,SM601,5614.0,2512.0,2601.0,148.0,168.0,0.0271759089239809,0.0308483290488432
2025-11-21,SM,5438.0,SM512,5592.0,SM601,5606.0,2512.0,2601.0,154.0,168.0,0.0283192350128724,0.0308937109231335
2025-11-24,SM,5442.0,SM512,5612.0,SM601,5630.0,2512.0,2601.0,170.0,188.0,0.0312385152517455,0.0345461227489893
2025-11-25,SM,5452.0,SM512,5614.0,SM601,5636.0,2512.0,2601.0,162.0,184.0,0.0297138664710197,0.0337490829053559
2025-11-26,SM,5440.0,SM512,5604.0,SM601,5630.0,2512.0,2601.0,164.0,190.0,0.0301470588235293,0.0349264705882352
2025-11-27,SM,5434.0,SM512,5604.0,SM601,5626.0,2512.0,2601.0,170.0,192.0,0.0312845049687156,0.0353330879646669
2025-11-28,SM,5434.0,SM512,5594.0,SM601,5612.0,2512.0,2601.0,160.0,178.0,0.0294442399705556,0.0327567169672433
2025-12-01,SM,5484.0,SM512,5698.0,SM601,5724.0,2512.0,2601.0,214.0,240.0,0.0390226112326768,0.0437636761487965
2025-12-02,SM,5484.0,SM512,5692.0,SM601,5722.0,2512.0,2601.0,208.0,238.0,0.0379285193289569,0.0433989788475566
2025-12-03,SM,5484.0,SM512,5710.0,SM603,5746.0,2512.0,2603.0,226.0,262.0,0.0412107950401166,0.0477753464624362
2025-12-04,SM,5490.0,SM512,5716.0,SM603,5796.0,2512.0,2603.0,226.0,306.0,0.0411657559198543,0.0557377049180327
2025-12-05,SM,5490.0,SM512,5724.0,SM603,5758.0,2512.0,2603.0,234.0,268.0,0.042622950819672,0.0488160291438979
2025-12-08,SM,5474.0,SM512,5718.0,SM603,5736.0,2512.0,2603.0,244.0,262.0,0.0445743514797223,0.0478626233101937
2025-12-09,SM,5476.0,SM512,5714.0,SM603,5732.0,2512.0,2603.0,238.0,256.0,0.043462381300219,0.0467494521548574
2025-12-10,SM,5480.0,SM512,5714.0,SM603,5724.0,2512.0,2603.0,234.0,244.0,0.0427007299270072,0.0445255474452555
2025-12-11,SM,5474.0,SM512,5688.0,SM603,5712.0,2512.0,2603.0,214.0,238.0,0.0390938984289368,0.0434782608695651
2025-12-12,SM,5474.0,SM512,5676.0,SM603,5730.0,2512.0,2603.0,202.0,256.0,0.0369017172086225,0.0467665327000366
2025-12-15,SM,5494.0,SM601,5740.0,SM603,5758.0,2601.0,2603.0,246.0,264.0,0.0447761194029849,0.0480524208227157
