date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,NI,120875.0,ni2506,119180.0,ni2507,119670.0,2506.0,2507.0,-1695.0,-1205.0,-0.0140227507755946,-0.0099689762150982
2025-06-17,NI,120008.33,ni2507,118980.0,ni2507,118980.0,2507.0,2507.0,-1028.3300000000015,-1028.3300000000015,-0.0085688218476167,-0.0085688218476167
2025-06-18,NI,119875.0,ni2507,118340.0,ni2507,118340.0,2507.0,2507.0,-1535.0,-1535.0,-0.0128050052137643,-0.0128050052137643
2025-06-19,NI,120458.33,ni2507,118890.0,ni2507,118890.0,2507.0,2507.0,-1568.3300000000015,-1568.3300000000015,-0.0130196890493169,-0.0130196890493169
2025-06-20,NI,120641.67,ni2507,118780.0,ni2507,118780.0,2507.0,2507.0,-1861.6699999999985,-1861.6699999999985,-0.0154314011070967,-0.0154314011070967
2025-06-23,NI,119616.67,ni2507,117970.0,ni2508,118050.0,2507.0,2508.0,-1646.6699999999985,-1566.6699999999985,-0.0137662250587647,-0.0130974219563209
2025-06-24,NI,119050.0,ni2507,117230.0,ni2508,117360.0,2507.0,2508.0,-1820.0,-1690.0,-0.015287694246115,-0.0141957160856782
2025-06-25,NI,119733.33,ni2507,117940.0,ni2508,118080.0,2507.0,2508.0,-1793.3300000000015,-1653.3300000000015,-0.0149777008624081,-0.0138084357964486
2025-06-26,NI,121966.67,ni2507,119540.0,ni2508,119780.0,2507.0,2508.0,-2426.6699999999983,-2186.6699999999983,-0.0198961732742232,-0.0179284225764301
2025-06-27,NI,122433.33,ni2507,120500.0,ni2508,120630.0,2507.0,2508.0,-1933.3300000000013,-1803.3300000000013,-0.0157908798200621,-0.0147290774497435
2025-06-30,NI,122400.0,ni2507,120740.0,ni2508,120970.0,2507.0,2508.0,-1660.0,-1430.0,-0.0135620915032679,-0.0116830065359476
2025-07-01,NI,121700.0,ni2507,120250.0,ni2508,120390.0,2507.0,2508.0,-1450.0,-1310.0,-0.0119145439605587,-0.0107641741988496
2025-07-02,NI,122383.33,ni2507,120830.0,ni2508,120820.0,2507.0,2508.0,-1553.3300000000015,-1563.3300000000015,-0.0126923331796904,-0.0127740436544748
2025-07-03,NI,122933.33,ni2507,121410.0,ni2508,121490.0,2507.0,2508.0,-1523.3300000000015,-1443.3300000000015,-0.0123915133511798,-0.0117407541144456
2025-07-04,NI,123783.33,ni2507,122320.0,ni2508,122480.0,2507.0,2508.0,-1463.3300000000015,-1303.3300000000015,-0.0118217049096999,-0.0105291237519624
2025-07-07,NI,122383.33,ni2507,120990.0,ni2508,121180.0,2507.0,2508.0,-1393.3300000000015,-1203.3300000000015,-0.0113849655831395,-0.0098324665622352
2025-07-08,NI,121450.0,ni2507,120260.0,ni2508,120590.0,2507.0,2508.0,-1190.0,-860.0,-0.0097982708933717,-0.0070811033347056
2025-07-09,NI,120516.67,ni2507,119770.0,ni2508,119460.0,2507.0,2508.0,-746.6699999999983,-1056.6699999999985,-0.0061955744379594,-0.008767832698995
