date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,AL,20636.67,al2506,20650.0,al2507,20390.0,2506.0,2507.0,13.330000000001746,-246.66999999999825,0.0006459375470946,-0.0119529943542247
2025-06-17,AL,20633.33,al2507,20405.0,al2507,20405.0,2507.0,2507.0,-228.3300000000017,-228.3300000000017,-0.0110660761011431,-0.0110660761011431
2025-06-18,AL,20920.0,al2507,20635.0,al2508,20465.0,2507.0,2508.0,-285.0,-455.0,-0.013623326959847,-0.0217495219885277
2025-06-19,AL,20786.67,al2507,20605.0,al2508,20475.0,2507.0,2508.0,-181.66999999999825,-311.66999999999825,-0.0087397356094073,-0.0149937435866349
2025-06-20,AL,20736.67,al2507,20525.0,al2508,20415.0,2507.0,2508.0,-211.66999999999825,-321.66999999999825,-0.0102075212654683,-0.0155121338189785
2025-06-23,AL,20663.33,al2507,20515.0,al2508,20420.0,2507.0,2508.0,-148.33000000000175,-243.3300000000017,-0.0071784170315239,-0.0117759335015218
2025-06-24,AL,20553.33,al2507,20410.0,al2508,20330.0,2507.0,2508.0,-143.33000000000175,-223.3300000000017,-0.0069735658406692,-0.0108658791543755
2025-06-25,AL,20550.0,al2507,20395.0,al2508,20295.0,2507.0,2508.0,-155.0,-255.0,-0.0075425790754257,-0.0124087591240875
2025-06-26,AL,20620.0,al2507,20510.0,al2508,20380.0,2507.0,2508.0,-110.0,-240.0,-0.0053346265761397,-0.011639185257032
2025-06-27,AL,20903.33,al2507,20740.0,al2508,20575.0,2507.0,2508.0,-163.33000000000175,-328.33000000000175,-0.007813587595852,-0.0157070667687876
2025-06-30,AL,20786.67,al2507,20735.0,al2508,20550.0,2507.0,2508.0,-51.669999999998254,-236.66999999999825,-0.0024857276321795,-0.0113856620613113
2025-07-01,AL,20786.67,al2507,20750.0,al2508,20560.0,2507.0,2508.0,-36.669999999998254,-226.66999999999825,-0.0017641113271148,-0.0109045845246015
2025-07-02,AL,20786.67,al2507,20825.0,al2508,20665.0,2507.0,2508.0,38.33000000000175,-121.66999999999824,0.0018439701982089,-0.0058532703891484
2025-07-03,AL,20870.0,al2507,20870.0,al2508,20685.0,2507.0,2508.0,0.0,-185.0,0.0,-0.0088643986583613
2025-07-04,AL,20780.0,al2507,20800.0,al2508,20640.0,2507.0,2508.0,20.0,-140.0,0.0009624639076035,-0.0067372473532242
2025-07-07,AL,20780.0,al2507,20670.0,al2508,20500.0,2507.0,2508.0,-110.0,-280.0,-0.005293551491819,-0.0134744947064484
2025-07-08,AL,20613.33,al2507,20670.0,al2508,20495.0,2507.0,2508.0,56.669999999998254,-118.33000000000176,0.0027491919064022,-0.0057404601779529
2025-07-09,AL,20680.0,al2507,20690.0,al2508,20515.0,2507.0,2508.0,10.0,-165.0,0.0004835589941973,-0.0079787234042553
2025-07-10,AL,20680.0,al2507,20835.0,al2508,20670.0,2507.0,2508.0,155.0,-10.0,0.007495164410058,-0.0004835589941972
2025-07-11,AL,20806.67,al2507,20845.0,al2508,20715.0,2507.0,2508.0,38.33000000000175,-91.66999999999824,0.0018421977183278,-0.0044057987174304
2025-07-14,AL,20806.67,al2507,20530.0,al2509,20380.0,2507.0,2509.0,-276.66999999999825,-426.6699999999983,-0.013297178260625,-0.0205064049172691
2025-07-15,AL,20523.33,al2507,20470.0,al2509,20365.0,2507.0,2509.0,-53.33000000000175,-158.33000000000175,-0.002598506187836,-0.0077146350031891
2025-07-16,AL,20540.0,al2508,20430.0,al2509,20400.0,2508.0,2509.0,-110.0,-140.0,-0.0053554040895813,-0.0068159688412853
2025-07-17,AL,20586.67,al2508,20455.0,al2509,20425.0,2508.0,2509.0,-131.66999999999825,-161.66999999999825,-0.006395886270096,-0.0078531399201521
2025-07-18,AL,20720.0,al2508,20550.0,al2509,20505.0,2508.0,2509.0,-170.0,-215.0,-0.0082046332046331,-0.0103764478764478
2025-07-21,AL,20906.67,al2508,20780.0,al2509,20745.0,2508.0,2509.0,-126.66999999999824,-161.66999999999825,-0.0060588319421504,-0.00773293881809
