date,value,增减
2025-05-06,276423,0.0
2025-05-07,259145,-17278.0
2025-05-08,247977,-11168.0
2025-05-09,255321,7344.0
2025-05-12,254997,-324.0
2025-05-13,249079,-5918.0
2025-05-14,247382,-1697.0
2025-05-15,247545,163.0
2025-05-16,247507,-38.0
2025-05-19,247312,-195.0
2025-05-20,238777,-8535.0
2025-05-21,238575,-202.0
2025-05-22,238493,-82.0
2025-05-23,237903,-590.0
2025-05-26,237823,-80.0
2025-05-27,237434,-389.0
2025-05-28,236838,-596.0
2025-05-29,236319,-519.0
2025-05-30,236134,-185.0
2025-06-03,236074,-60.0
2025-06-04,235890,-184.0
2025-06-05,235890,0.0
2025-06-06,235383,-507.0
2025-06-09,234689,-694.0
2025-06-10,234418,-271.0
2025-06-11,239208,4790.0
2025-06-12,238523,-685.0
2025-06-13,238221,-302.0
2025-06-16,237357,-864.0
2025-06-17,237974,617.0
2025-06-18,237724,-250.0
2025-06-19,236518,-1206.0
2025-06-20,235317,-1201.0
2025-06-23,234119,-1198.0
2025-06-24,231284,-2835.0
2025-06-25,230230,-1054.0
2025-06-26,229235,-995.0
2025-06-27,228464,-771.0
2025-06-30,228076,-388.0
2025-07-01,227647,-429.0
2025-07-02,227256,-391.0
2025-07-03,228552,1296.0
2025-07-04,228451,-101.0
2025-07-07,228036,-415.0
2025-07-08,228100,64.0
2025-07-09,229598,1498.0
2025-07-10,229353,-245.0
2025-07-11,229194,-159.0
2025-07-14,231408,2214.0
2025-07-15,237021,5613.0
2025-07-16,236881,-140.0
2025-07-17,236818,-63.0
2025-07-18,236718,-100.0
2025-07-21,236579,-139.0
2025-07-22,236579,0.0
2025-07-23,236579,0.0
2025-07-24,236458,-121.0
2025-07-25,236458,0.0
2025-07-28,235859,-599.0
2025-07-29,235859,0.0
2025-07-30,235737,-122.0
2025-07-31,235397,-340.0
2025-08-01,235397,0.0
2025-08-04,234660,-737.0
2025-08-05,233450,-1210.0
2025-08-06,233178,-272.0
2025-08-07,233178,0.0
2025-08-08,232477,-701.0
2025-08-11,232215,-262.0
2025-08-12,234087,1872.0
2025-08-13,235254,1167.0
2025-08-14,235153,-101.0
2025-08-15,235114,-39.0
2025-08-18,235114,0.0
2025-08-19,234612,-502.0
2025-08-20,234399,-213.0
2025-08-21,233798,-601.0
2025-08-22,233393,-405.0
2025-08-25,232918,-475.0
2025-08-26,232045,-873.0
2025-08-27,231724,-321.0
2025-08-28,231068,-656.0
2025-08-29,229226,-1842.0
2025-09-01,229087,-139.0
2025-09-02,229027,-60.0
2025-09-03,228987,-40.0
2025-09-04,228781,-206.0
2025-09-05,228614,-167.0
2025-09-08,226673,-1941.0
2025-09-09,226633,-40.0
2025-09-10,226671,38.0
2025-09-11,226588,-83.0
2025-09-12,226800,212.0
2025-09-15,226780,-20.0
2025-09-16,226594,-186.0
2025-09-17,226401,-193.0
2025-09-18,226401,0.0
2025-09-19,226401,0.0
