date,symbol,close,volume,open_interest,roll_yield
20250526,RS2507,5242.0,48.0,73.0,0.0285470136002267
20250526,RS2509,5267.0,57.0,7.0,0.0
20250527,RS2507,5235.0,43.0,70.0,0.0103063294737196
20250527,RS2509,5244.0,24.0,14.0,0.0
20250528,RS2507,5295.0,49.0,72.0,0.0406551527235253
20250528,RS2509,5331.0,48.0,11.0,0.0
20250529,RS2507,5259.0,15.0,76.0,0.0579056438798418
20250529,RS2509,5310.0,27.0,10.0,0.0662990171195096
20250529,RS2511,5369.0,3.0,3.0,0.0
20250530,RS2507,5247.0,24.0,73.0,0.0614339838065657
20250530,RS2509,5301.0,5.0,11.0,0.0563278639409917
20250530,RS2511,5351.0,3.0,1.0,0.0
20250603,RS2507,5266.0,37.0,79.0,0.0250142488516054
20250603,RS2509,5288.0,84.0,10.0,0.1257531061250611
20250603,RS2511,5400.0,2.0,1.0,0.0
20250604,RS2507,5239.0,56.0,80.0,0.1321197856356833
20250604,RS2508,5297.0,6.0,0.0,-0.0408472406509248
20250604,RS2509,5279.0,21.0,10.0,0.0520561545240573
20250604,RS2511,5325.0,1.0,1.0,0.0
20250605,RS2507,5163.0,22.0,88.0,0.1242137518533464
20250605,RS2509,5271.0,14.0,14.0,0.0577744480945657
20250605,RS2511,5322.0,3.0,1.0,0.0
20250606,RS2507,5129.0,63.0,97.0,0.0824875030815017
20250606,RS2509,5200.0,36.0,14.0,0.1074928693051672
20250606,RS2511,5294.0,2.0,1.0,0.0
20250609,RS2507,5091.0,55.0,107.0,0.1190237396518972
20250609,RS2509,5193.0,37.0,17.0,0.0
20250610,RS2507,5066.0,13.0,107.0,0.1773758108103191
20250610,RS2509,5218.0,22.0,18.0,0.0697349947616547
20250610,RS2511,5279.0,1.0,1.0,0.0
20250611,RS2507,5050.0,26.0,105.0,0.117650828330258
20250611,RS2509,5150.0,52.0,20.0,0.0
20250612,RS2507,5053.0,7.0,105.0,0.4589514035251307
20250612,RS2508,5250.0,2.0,2.0,-0.2331066664743373
20250612,RS2509,5149.0,23.0,20.0,0.117696081550308
20250612,RS2511,5251.0,8.0,2.0,0.0
20250613,RS2507,5059.0,8.0,103.0,0.2952120764602988
20250613,RS2508,5185.0,1.0,2.0,0.2156021299198618
20250613,RS2509,5279.0,74.0,17.0,-0.0399127196401548
20250613,RS2511,5244.0,8.0,1.0,0.0
20250616,RS2507,5094.0,31.0,104.0,0.1935464771484291
20250616,RS2509,5261.0,34.0,16.0,-0.0159878282645725
20250616,RS2511,5247.0,8.0,1.0,0.0
20250617,RS2507,5067.0,19.0,103.0,0.1784908524046481
20250617,RS2509,5220.0,53.0,26.0,0.0606123519227126
20250617,RS2511,5273.0,7.0,1.0,0.0
20250618,RS2507,5236.0,106.0,118.0,0.0114536612685079
20250618,RS2508,5241.0,3.0,0.0,-0.0504780859050359
20250618,RS2509,5219.0,29.0,27.0,0.0549307670398568
20250618,RS2511,5267.0,7.0,1.0,0.0
20250619,RS2507,5290.0,44.0,104.0,0.1012207698209098
20250619,RS2509,5380.0,35.0,32.0,0.0
20250620,RS2507,5260.0,28.0,98.0,0.1620503600900039
20250620,RS2509,5404.0,11.0,31.0,0.0
20250623,RS2507,5125.0,97.0,91.0,0.4593862388522036
20250623,RS2508,5325.0,1.0,1.0,-0.3870195182225738
20250623,RS2509,5156.0,41.0,25.0,0.1630098346376225
20250623,RS2511,5298.0,8.0,1.0,0.0
20250624,RS2507,5071.0,47.0,88.0,0.1171683396072138
20250624,RS2509,5171.0,24.0,27.0,0.0
20250625,RS2507,5000.0,52.0,85.0,0.242336487426231
20250625,RS2508,5102.0,1.0,1.0,0.128668744190427
20250625,RS2509,5157.0,34.0,24.0,0.1186560700847793
20250625,RS2511,5260.0,1.0,1.0,0.0
20250626,RS2507,4947.0,31.0,83.0,0.5777402951942457
20250626,RS2508,5191.0,2.0,2.0,0.0760444215484545
20250626,RS2509,5224.0,22.0,21.0,0.0
20250627,RS2507,4920.0,48.0,90.0,0.5459278867174516
20250627,RS2508,5149.0,7.0,1.0,0.1344162374010928
20250627,RS2509,5207.0,5.0,20.0,0.0
20250630,RS2507,4949.0,127.0,39.0,0.3347497396433603
20250630,RS2508,5089.0,4.0,2.0,0.0235571335958768
20250630,RS2509,5099.0,58.0,36.0,0.0
20250701,RS2508,5130.0,2.0,0.0,-0.0398321170177912
20250701,RS2509,5113.0,19.0,40.0,0.0
20250702,RS2509,5165.0,38.0,56.0,0.0
20250703,RS2509,5064.0,67.0,66.0,-0.0727137140148422
20250703,RS2511,5003.0,3.0,2.0,0.0
20250704,RS2509,5066.0,54.0,57.0,0.0
20250707,RS2509,5058.0,42.0,60.0,0.0
20250708,RS2509,5039.0,8.0,61.0,0.028509259735867
20250708,RS2511,5063.0,4.0,3.0,0.0
20250709,RS2509,5079.0,78.0,64.0,-0.0070921994073299
20250709,RS2511,5073.0,20.0,3.0,0.0
20250710,RS2509,5069.0,46.0,57.0,-0.0047365307373939
20250710,RS2511,5065.0,6.0,2.0,0.0
20250711,RS2508,5299.0,2.0,0.0,-0.4993978205503154
20250711,RS2509,5083.0,29.0,56.0,0.1006656464948205
20250711,RS2511,5169.0,21.0,4.0,0.0
20250714,RS2509,5099.0,64.0,55.0,0.0258317424443678
20250714,RS2511,5121.0,33.0,6.0,0.0
20250715,RS2509,5098.0,51.0,57.0,0.0141065895701363
20250715,RS2511,5110.0,35.0,8.0,0.0122783768796592
20250715,RS2607,5152.0,3.0,0.0,0.0
20250716,RS2509,5065.0,23.0,54.0,0.0330774612109256
20250716,RS2511,5093.0,32.0,12.0,0.0
20250717,RS2509,5068.0,10.0,58.0,0.043645134946417
20250717,RS2511,5105.0,62.0,8.0,0.0
20250718,RS2509,5148.0,30.0,57.0,0.0197808770263298
20250718,RS2511,5165.0,22.0,9.0,0.0
20250721,RS2509,5153.0,38.0,55.0,0.1403976600962583
20250721,RS2511,5275.0,40.0,13.0,0.0
20250722,RS2509,5133.0,24.0,55.0,0.107735301121528
20250722,RS2511,5226.0,47.0,11.0,0.0
20250723,RS2509,5165.0,50.0,57.0,0.1287159111115738
20250723,RS2511,5277.0,73.0,8.0,0.0
