date,symbol,close,volume,open_interest,roll_yield
20250526,SM2506,5616.0,4587.0,15649.0,0.0341394255867761
20250526,SM2507,5632.0,65127.0,88900.0,0.0382911156312993
20250526,SM2508,5650.0,27378.0,37003.0,0.0381693200410127
20250526,SM2509,5668.0,418077.0,435576.0,-0.0042350450413099
20250526,SM2510,5666.0,420.0,1100.0,0.2099423736946272
20250526,SM2511,5766.0,34.0,219.0,-0.0751568218747475
20250526,SM2512,5730.0,16.0,54.0,-0.0041892128196438
20250526,SM2601,5728.0,10123.0,34913.0,0.046001101810974
20250526,SM2602,5750.0,102.0,532.0,0.0
20250526,SM2603,5750.0,46.0,228.0,0.0208514387824905
20250526,SM2604,5760.0,16.0,82.0,0.0083304411537107
20250526,SM2605,5764.0,117.0,173.0,0.0
20250527,SM2506,5560.0,2920.0,15188.0,0.0559843111259283
20250527,SM2507,5586.0,55107.0,84096.0,0.0386059314213065
20250527,SM2508,5604.0,18766.0,39726.0,0.0256684589849933
20250527,SM2509,5616.0,293076.0,440811.0,0.0
20250527,SM2510,5616.0,326.0,1099.0,0.0439175653090782
20250527,SM2601,5678.0,7313.0,35457.0,0.0126738262088972
20250527,SM2602,5684.0,44.0,538.0,0.0210933434518993
20250527,SM2603,5694.0,39.0,230.0,0.0210563310737877
20250527,SM2604,5704.0,44.0,87.0,0.0294169294575042
20250527,SM2605,5718.0,49.0,177.0,0.0
20250528,SM2506,5556.0,3867.0,14186.0,0.0345075723055443
20250528,SM2507,5572.0,47783.0,78538.0,0.0387027749933835
20250528,SM2508,5590.0,21060.0,43266.0,0.0342979869070646
20250528,SM2509,5606.0,215126.0,442809.0,0.00428036387631
20250528,SM2510,5608.0,300.0,1087.0,0.1741931808714075
20250528,SM2511,5690.0,7.0,220.0,-0.0042186676475981
20250528,SM2512,5688.0,9.0,57.0,-0.084686307719985
20250528,SM2601,5648.0,4348.0,35702.0,0.0169851408399691
20250528,SM2602,5656.0,14.0,549.0,0.033898327626658
20250528,SM2603,5672.0,20.0,240.0,0.0338028392533604
20250528,SM2604,5688.0,18.0,95.0,0.0252897880747775
20250528,SM2605,5700.0,37.0,193.0,0.0
20250529,SM2506,5492.0,1920.0,14178.0,0.021830095159899
20250529,SM2507,5502.0,70070.0,64514.0,0.0304955691440705
20250529,SM2508,5516.0,33560.0,41357.0,0.0304182672382573
20250529,SM2509,5530.0,375707.0,466577.0,0.0043391792192213
20250529,SM2510,5532.0,663.0,1177.0,0.2064567053955691
20250529,SM2511,5628.0,18.0,225.0,-0.0598504981324686
20250529,SM2512,5600.0,9.0,58.0,-0.05153909139457
20250529,SM2601,5576.0,8885.0,36944.0,-0.0129194342283615
