date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,JD,2775.0,jd2506,2637.0,jd2508,3582.0,2506.0,2508.0,-138.0,807.0,-0.0497297297297297,0.2908108108108107
2025-06-17,JD,2800.0,jd2506,2700.0,jd2508,3553.0,2506.0,2508.0,-100.0,753.0,-0.0357142857142857,0.2689285714285714
2025-06-18,JD,2800.0,jd2506,2700.0,jd2508,3593.0,2506.0,2508.0,-100.0,793.0,-0.0357142857142857,0.2832142857142856
2025-06-19,JD,2875.0,jd2506,2648.0,jd2508,3607.0,2506.0,2508.0,-227.0,732.0,-0.0789565217391304,0.2546086956521738
2025-06-20,JD,2925.0,jd2506,2701.0,jd2508,3622.0,2506.0,2508.0,-224.0,697.0,-0.0765811965811965,0.2382905982905983
2025-06-23,JD,2925.0,jd2506,2694.0,jd2508,3579.0,2506.0,2508.0,-231.0,654.0,-0.078974358974359,0.2235897435897436
2025-06-24,JD,2925.0,jd2506,2694.0,jd2508,3555.0,2506.0,2508.0,-231.0,630.0,-0.078974358974359,0.2153846153846152
2025-06-25,JD,2890.0,jd2506,2664.0,jd2508,3565.0,2506.0,2508.0,-226.0,675.0,-0.0782006920415224,0.2335640138408303
2025-06-26,JD,2890.0,jd2507,2828.0,jd2508,3555.0,2507.0,2508.0,-62.0,665.0,-0.0214532871972318,0.2301038062283738
2025-06-27,JD,2890.0,jd2507,2810.0,jd2508,3542.0,2507.0,2508.0,-80.0,652.0,-0.0276816608996539,0.2256055363321798
2025-06-30,JD,2810.0,jd2507,2776.0,jd2508,3539.0,2507.0,2508.0,-34.0,729.0,-0.0120996441281139,0.2594306049822064
2025-07-01,JD,2790.0,jd2507,2835.0,jd2508,3568.0,2507.0,2508.0,45.0,778.0,0.0161290322580645,0.2788530465949821
2025-07-02,JD,2790.0,jd2507,2836.0,jd2508,3561.0,2507.0,2508.0,46.0,771.0,0.0164874551971325,0.2763440860215054
2025-07-03,JD,2790.0,jd2507,2859.0,jd2508,3558.0,2507.0,2508.0,69.0,768.0,0.0247311827956988,0.2752688172043012
2025-07-04,JD,2790.0,jd2507,2872.0,jd2509,3697.0,2507.0,2509.0,82.0,907.0,0.0293906810035842,0.325089605734767
2025-07-07,JD,2775.0,jd2507,2814.0,jd2509,3609.0,2507.0,2509.0,39.0,834.0,0.0140540540540541,0.3005405405405406
2025-07-08,JD,2750.0,jd2507,2778.0,jd2509,3577.0,2507.0,2509.0,28.0,827.0,0.0101818181818182,0.3007272727272727
2025-07-09,JD,2750.0,jd2507,2778.0,jd2509,3585.0,2507.0,2509.0,28.0,835.0,0.0101818181818182,0.3036363636363637
2025-07-10,JD,2750.0,jd2507,2728.0,jd2509,3572.0,2507.0,2509.0,-22.0,822.0,-0.008,0.298909090909091
2025-07-11,JD,2775.0,jd2507,2704.0,jd2509,3582.0,2507.0,2509.0,-71.0,807.0,-0.0255855855855855,0.2908108108108107
2025-07-14,JD,2875.0,jd2507,2842.0,jd2509,3597.0,2507.0,2509.0,-33.0,722.0,-0.0114782608695652,0.2511304347826086
2025-07-15,JD,2875.0,jd2507,2780.0,jd2509,3611.0,2507.0,2509.0,-95.0,736.0,-0.0330434782608696,0.256
2025-07-16,JD,2885.0,jd2507,2900.0,jd2509,3605.0,2507.0,2509.0,15.0,720.0,0.0051993067590987,0.2495667244367416
2025-07-17,JD,2885.0,jd2507,2814.0,jd2509,3594.0,2507.0,2509.0,-71.0,709.0,-0.0246100519930675,0.2457538994800694
2025-07-18,JD,3050.0,jd2507,2982.0,jd2509,3613.0,2507.0,2509.0,-68.0,563.0,-0.022295081967213,0.1845901639344263
2025-07-21,JD,3275.0,jd2507,3160.0,jd2509,3624.0,2507.0,2509.0,-115.0,349.0,-0.0351145038167939,0.1065648854961831
2025-07-22,JD,3300.0,jd2507,3160.0,jd2509,3624.0,2507.0,2509.0,-140.0,324.0,-0.0424242424242424,0.0981818181818181
2025-07-23,JD,3375.0,jd2507,3160.0,jd2509,3646.0,2507.0,2509.0,-215.0,271.0,-0.0637037037037037,0.0802962962962963
2025-07-24,JD,3440.0,jd2507,3160.0,jd2509,3634.0,2507.0,2509.0,-280.0,194.0,-0.0813953488372093,0.0563953488372093
2025-07-25,JD,3440.0,jd2507,3160.0,jd2509,3630.0,2507.0,2509.0,-280.0,190.0,-0.0813953488372093,0.0552325581395349
2025-07-28,JD,3400.0,jd2507,2917.0,jd2509,3587.0,2507.0,2509.0,-483.0,187.0,-0.1420588235294118,0.0549999999999999
2025-07-29,JD,3400.0,jd2508,3347.0,jd2509,3570.0,2508.0,2509.0,-53.0,170.0,-0.0155882352941176,0.05
2025-07-30,JD,3400.0,jd2508,3304.0,jd2509,3574.0,2508.0,2509.0,-96.0,174.0,-0.028235294117647,0.0511764705882353
2025-07-31,JD,3335.0,jd2508,3236.0,jd2509,3529.0,2508.0,2509.0,-99.0,194.0,-0.0296851574212894,0.0581709145427287
2025-08-01,JD,3325.0,jd2508,3271.0,jd2509,3501.0,2508.0,2509.0,-54.0,176.0,-0.0162406015037593,0.0529323308270677
2025-08-04,JD,3210.0,jd2508,3093.0,jd2509,3394.0,2508.0,2509.0,-117.0,184.0,-0.0364485981308411,0.0573208722741434
2025-08-05,JD,3150.0,jd2508,2871.0,jd2509,3345.0,2508.0,2509.0,-279.0,195.0,-0.0885714285714285,0.0619047619047619
2025-08-06,JD,3100.0,jd2508,2756.0,jd2509,3352.0,2508.0,2509.0,-344.0,252.0,-0.1109677419354838,0.0812903225806451
2025-08-07,JD,3075.0,jd2508,2751.0,jd2509,3376.0,2508.0,2509.0,-324.0,301.0,-0.1053658536585365,0.0978861788617886
2025-08-08,JD,3050.0,jd2508,2788.0,jd2510,3272.0,2508.0,2510.0,-262.0,222.0,-0.0859016393442623,0.0727868852459017
2025-08-11,JD,3190.0,jd2508,2788.0,jd2510,3212.0,2508.0,2510.0,-402.0,22.0,-0.1260188087774294,0.0068965517241379
2025-08-12,JD,3200.0,jd2508,2790.0,jd2510,3197.0,2508.0,2510.0,-410.0,-3.0,-0.128125,-0.0009375
2025-08-13,JD,3200.0,jd2508,2790.0,jd2510,3200.0,2508.0,2510.0,-410.0,0.0,-0.128125,0.0
2025-08-14,JD,3200.0,jd2508,2790.0,jd2510,3177.0,2508.0,2510.0,-410.0,-23.0,-0.128125,-0.0071875
2025-08-15,JD,3210.0,jd2508,2790.0,jd2510,3193.0,2508.0,2510.0,-420.0,-17.0,-0.1308411214953271,-0.0052959501557632
2025-08-18,JD,3350.0,jd2508,2900.0,jd2510,3134.0,jd2508,jd2510,-450.0,-216.0,-0.1343283582089552,-0.0644776119402985
2025-08-19,JD,3365.0,jd2508,2940.0,jd2510,3083.0,jd2508,jd2510,-425.0,-282.0,-0.1263001485884101,-0.0838038632986627
2025-08-20,JD,3365.0,jd2508,2940.0,jd2510,3078.0,jd2508,jd2510,-425.0,-287.0,-0.1263001485884101,-0.0852897473997028
2025-08-21,JD,3335.0,jd2508,2940.0,jd2510,3035.0,jd2508,jd2510,-395.0,-300.0,-0.1184407796101949,-0.0899550224887556
2025-08-22,JD,3300.0,jd2508,2940.0,jd2510,3026.0,2508.0,2510.0,-360.0,-274.0,-0.1090909090909091,-0.083030303030303
2025-08-25,JD,3250.0,jd2508,2940.0,jd2510,3031.0,jd2508,jd2510,-310.0,-219.0,-0.0953846153846154,-0.0673846153846153
2025-08-26,JD,3250.0,jd2508,2932.0,jd2510,3011.0,jd2508,jd2510,-318.0,-239.0,-0.0978461538461538,-0.0735384615384615
2025-08-27,JD,3265.0,jd2509,2909.0,jd2510,2997.0,jd2509,jd2510,-356.0,-268.0,-0.1090352220520674,-0.0820826952526799
2025-08-28,JD,3265.0,jd2509,2848.0,jd2510,2951.0,jd2509,jd2510,-417.0,-314.0,-0.1277182235834609,-0.0961715160796324
2025-08-29,JD,3235.0,jd2509,2850.0,jd2510,2935.0,jd2509,jd2510,-385.0,-300.0,-0.1190108191653787,-0.0927357032457496
2025-09-01,JD,3225.0,jd2509,2824.0,jd2510,2948.0,jd2509,jd2510,-401.0,-277.0,-0.1243410852713178,-0.085891472868217
2025-09-02,JD,3225.0,jd2509,2803.0,jd2510,2934.0,jd2509,jd2510,-422.0,-291.0,-0.1308527131782946,-0.0902325581395349
2025-09-03,JD,3235.0,jd2509,2867.0,jd2510,2979.0,jd2509,jd2510,-368.0,-256.0,-0.1137557959814529,-0.0791344667697063
2025-09-04,JD,3290.0,jd2509,2944.0,jd2510,3016.0,jd2509,jd2510,-346.0,-274.0,-0.1051671732522796,-0.0832826747720364
2025-09-05,JD,3340.0,jd2509,2920.0,jd2510,2993.0,jd2509,jd2510,-420.0,-347.0,-0.1257485029940119,-0.1038922155688623
2025-09-08,JD,3450.0,jd2509,3072.0,jd2511,3027.0,jd2509,jd2511,-378.0,-423.0,-0.1095652173913043,-0.1226086956521739
